#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
XT|NAQA|-17.964245|178.388107|83.0|Naqila|2001-07-25T03:49:39|2002-12-31T23:59:59
XO|ROTA|14.148126|145.186554|528.0|Rota|2003-05-10T07:09:04|2004-12-31T23:59:59
IM|PSA00|-21.5725|119.845802|305.0|Pilbara Seismic Array Beam|2011-01-01T00:00:00|2599-12-31T23:59:59
IA|OBMI|-1.3413|127.6444|110.89|Station Pulau, BMG, Indonesia|2012-01-01T00:00:00|2599-12-31T23:59:59
ZB|RTMD|-2.9616|101.472801|39.0|Desa Retak Mudik|2007-12-17T00:00:00|2008-10-19T23:00:00
AU|GEXS|-38.200802|144.289993|10.0|Deakin UNI JUMP, GEELONG Victoria|2013-03-26T00:00:00|2599-12-31T23:59:59
GE|UGM|-7.9125|110.5231|350.0|GEOFON Station Wanagama, Indonesia|1995-08-23T00:00:00|2599-12-31T23:59:59
AU|PSAC3|-21.621359|119.827744|352.0|Pilbara Seismic Array Element C3|2011-01-01T00:00:00|2599-12-31T23:59:59
1U|HNTY|-37.5777|175.1034|69.0|Huntly|2023-01-01T00:00:00|2025-12-31T23:59:59
AU|TROP|-29.2151|124.4794|343.0|GSWA station|2023-02-09T00:00:00|2599-12-31T23:59:59
G|NOUC|-22.09863|166.30665|137.0|Port Laguerre - New Caledonia, France|1988-03-21T00:00:00|2599-12-31T23:59:59
PS|JAY|-2.5147|140.703|439.0|Jayapura, Indonesia|1997-12-17T00:00:00|2599-12-31T23:59:59
XO|SAP6|15.125788|145.740891|122.0|Saipan 6|2003-05-03T04:52:46|2004-12-31T23:59:59
PS|TGY|14.1|120.940002|0.0|Tagaytay, Phillipines|1992-02-26T00:00:00|1998-03-20T00:00:00
YC|SBA5|4.42271|116.85881|426.0|First|2018-03-20T03:35:00|2019-08-30T23:25:00
S1|AUBSH|-26.864|152.9547|26.0|Beerwah State High School|2013-08-26T00:00:00|2599-12-31T23:59:59
YW|SING1|-32.695183|151.020918|92.0|Milbrodale|2025-04-24T00:00:00|2025-12-31T23:59:59
IA|TNGI|-6.172|106.647|75.0|Station Tangerang, Indonesia (CN)|2006-01-01T00:00:00|2599-12-31T23:59:59
AU|KMBL|-31.3669|121.8821|370.0|Kambalda, WA|2000-11-27T00:00:00|2599-12-31T23:59:59
YC|SBE3|6.06708|116.830971|325.0|Ranau|2018-03-23T06:10:00|2020-01-08T08:40:00
YO|MATT4|-39.13797|174.568604|140.0|MATT4|2001-10-01T00:00:00|2002-01-31T04:45:00
IA|KMMI|-7.0412|113.9157|49.14|Station Kalianget, Indonesia|2006-01-01T00:00:00|2599-12-31T23:59:59
ZB|LIKU|-1.7457|100.800301|27.0|200-50-10-05|2007-12-21T00:00:00|2008-10-19T23:00:00
AU|RK2S|-23.3102|150.521606|36.0|Rockhampton 2 Soft Rock JUMP, QLD|2008-12-10T00:00:00|2599-12-31T23:59:59
IA|WSI|-9.6689|120.297666|48.0|Station Waingapu, JISNET Indonesia|2005-01-01T00:00:00|2599-12-31T23:59:59
XC|DENA|-41.7449|171.805298|669.0|Denniston|1995-11-11T02:11:17|1996-12-31T23:59:59
AU|WB9|-19.791389|134.383972|360.0|Warramunga Array, Australia|1999-07-01T00:00:00|2599-12-31T23:59:59
