evtime,evlat,evlon,evdp,evmg,evphase
1991-05-01T07:18:42.030000Z,62.5808,-151.5413,109.4,6.3,SKS
1991-04-29T18:30:41.010000Z,42.5140,43.8868,10.1,6.2,SKS
1991-04-29T09:12:48.130000Z,42.4147,43.6707,17.2,6.2,SKS
1991-01-31T23:03:33.360000Z,35.9890,70.4521,139.8,6.7,SKS
1990-11-06T18:45:53.070000Z,28.2299,55.4695,15.7,6.4,SKS
1990-10-25T04:53:59.870000Z,35.1174,70.4720,111.9,6.0,SKS
1990-09-14T09:20:17.010000Z,-60.7721,-22.9095,15.0,6.2,SKS
1990-07-09T15:11:20.420000Z,5.4005,31.6673,12.6,6.6,SKS
1990-06-20T21:00:10.860000Z,36.9893,49.3462,18.5,7.3,SKS
1990-06-17T04:51:45.850000Z,27.4481,65.7410,14.5,6.1,SKS
1990-05-31T07:35:29.630000Z,17.3494,-100.6546,37.9,6.0,SKS
1990-05-24T20:00:08.220000Z,5.3589,31.8660,16.0,6.5,SKS
1990-05-24T19:34:47.130000Z,5.3251,31.8438,36.6,6.4,SKS
1990-05-20T02:22:01.180000Z,5.0708,32.1588,14.9,7.2,SKS
1990-05-15T14:25:21.080000Z,36.0324,70.4359,116.9,6.0,SKS
1990-05-14T21:34:05.780000Z,-35.8445,-71.4025,87.1,6.2,SKS
1990-05-09T04:21:19.570000Z,-56.3422,-27.0954,112.8,6.0,SKS
1990-05-01T16:12:21.540000Z,58.8475,-156.8274,209.7,6.6,SKS
1990-04-21T18:54:57.110000Z,-36.8422,-73.1469,39.5,6.3,SKS
1990-02-05T05:16:44.300000Z,37.0771,71.2741,92.4,6.3,SKS
1989-10-19T09:49:57.310000Z,49.9028,78.9689,0.0,6.0,SKS
1989-10-18T00:04:14.750000Z,37.0608,-121.7895,7.6,6.9,SKS
1989-09-17T00:53:38.620000Z,40.2207,51.7878,41.0,6.2,SKS
1989-09-16T02:05:07.550000Z,40.3559,51.5747,42.1,6.5,SKS
1989-08-29T04:16:22.640000Z,18.0472,-105.6899,16.6,6.4,SKS
1989-08-21T05:03:05.570000Z,11.9260,41.7703,10.0,6.1,SKS
1989-08-21T01:09:06.650000Z,11.8559,41.8637,16.0,6.1,SKS
1989-08-20T19:25:56.610000Z,11.8894,41.8171,12.0,6.2,SKS
1989-08-20T11:46:28.100000Z,11.8785,41.8165,10.0,6.1,SKS
1989-08-20T11:16:56.600000Z,11.7670,41.9601,12.0,6.0,SKS
1989-08-03T11:07:18.030000Z,-60.0135,-26.5405,33.0,6.0,SKS
1989-04-25T14:29:01.240000Z,16.8096,-99.3079,21.3,6.2,SKS
1989-03-10T21:49:45.800000Z,-13.6965,34.4452,30.0,6.4,SKS
1989-01-22T03:57:06.680000Z,49.8967,78.8324,0.0,6.1,SKS
1988-12-11T07:59:42.600000Z,-34.1100,-72.2800,50.0,6.1,SKS
1988-12-07T07:41:24.310000Z,40.9622,44.1643,5.0,6.8,SKS
1988-09-14T03:59:57.590000Z,49.8120,78.8027,0.0,6.1,SKS
1988-08-06T09:03:21.860000Z,36.5153,71.0675,192.6,6.3,SKS
1988-06-18T22:49:42.380000Z,26.8119,-111.0365,10.0,6.6,SKS
1988-05-04T00:57:06.820000Z,49.8872,78.7645,0.0,6.1,SKS
1988-05-01T23:06:31.070000Z,-55.9017,-27.6175,117.3,6.1,SKS
1988-04-03T01:33:05.940000Z,49.8659,78.9245,0.0,6.1,SKS
1988-03-25T19:36:46.500000Z,62.1139,-124.1646,10.0,6.1,SKS
1988-03-21T23:31:25.110000Z,77.5908,125.5212,34.0,6.5,SKS
1988-03-06T23:14:36.300000Z,57.7406,-142.9365,10.0,6.2,SKS
1988-03-06T22:35:36.150000Z,57.2739,-142.7928,10.0,7.3,SKS
1988-02-13T03:05:06.040000Z,49.9267,78.9056,0.0,6.1,SKS
1987-12-27T03:05:04.860000Z,49.8227,78.7344,0.0,6.1,SKS
1987-12-13T03:21:04.890000Z,49.9296,78.8221,0.0,6.1,SKS
1987-11-30T19:23:15.600000Z,58.8045,-142.5990,10.0,7.8,SKS
1987-11-24T13:15:56.570000Z,33.1230,-116.0204,2.0,6.5,SKS
1987-11-17T08:46:50.350000Z,58.8183,-143.2462,10.0,7.2,SKS
1987-11-15T03:31:06.830000Z,49.8388,78.7650,0.0,6.0,SKS
1987-10-25T16:46:14.160000Z,5.4401,36.7967,15.0,6.3,SKS
1987-09-13T20:08:51.590000Z,-34.3708,-69.9598,10.0,6.0,SKS
1987-08-29T14:15:16.110000Z,-56.5219,-25.5827,15.0,6.0,SKS
1987-07-08T11:50:14.810000Z,-26.9689,-108.1527,10.0,6.4,SKS
1987-07-06T01:06:07.740000Z,-27.0011,-108.3202,10.0,6.7,SKS
1987-06-20T00:53:04.950000Z,49.8893,78.7291,0.0,6.1,SKS
1987-05-05T15:40:47.270000Z,36.4651,70.6820,199.9,6.2,SKS
1987-04-17T01:03:04.920000Z,49.8296,78.6714,0.0,6.0,SKS
1987-04-03T01:17:08.100000Z,49.8736,78.8122,0.0,6.2,SKS
1987-02-23T02:43:40.360000Z,-57.9828,-25.5246,27.0,6.3,SKS
1987-01-30T22:29:43.010000Z,-60.0525,-26.8848,53.1,7.0,SKS
1986-12-22T14:18:38.020000Z,-56.8888,-48.8074,10.0,6.5,SKS
1986-09-17T21:25:14.950000Z,10.4396,56.9710,10.0,6.3,SKS
1986-09-13T09:28:24.450000Z,-60.7863,-36.7420,10.0,6.3,SKS
1986-09-12T23:57:15.830000Z,56.1937,-153.4011,31.0,6.5,SKS
1986-07-21T14:42:25.360000Z,37.5261,-118.4416,0.3,6.3,SKS
1986-07-08T09:20:43.640000Z,34.0132,-116.7254,7.9,6.2,SKS
1986-07-07T16:26:56.530000Z,10.3132,56.8139,8.0,6.5,SKS
1986-06-19T09:09:10.120000Z,56.3862,-152.8589,17.0,6.8,SKS
1986-05-05T03:35:38.360000Z,38.0166,37.7898,4.4,6.0,SKS
1986-04-30T07:07:19.570000Z,18.3692,-103.0103,37.8,7.0,SKS
1986-04-14T14:52:10.720000Z,-57.7758,-24.3829,11.0,6.4,SKS
1986-03-06T00:05:37.690000Z,40.3694,51.5985,28.2,6.5,SKS
1986-01-05T08:08:09.320000Z,-53.1261,9.4398,10.0,6.0,SKS
1985-12-23T05:16:03.450000Z,62.1887,-124.2744,6.0,6.9,SKS
1985-11-06T08:15:43.170000Z,-58.7167,-26.2122,164.1,6.2,SKS
1985-10-29T13:13:40.020000Z,36.7453,54.8108,12.6,6.3,SKS
1985-10-05T15:24:02.450000Z,62.2158,-124.2647,10.0,6.7,SKS
1985-09-21T01:37:15.110000Z,17.8110,-101.6856,42.1,7.6,SKS
1985-08-02T07:46:51.990000Z,36.1903,70.8142,107.2,6.3,SKS
1985-07-29T07:54:44.520000Z,36.2078,70.9006,101.9,7.3,SKS
1985-07-28T22:59:54.990000Z,-60.3006,-27.0018,33.0,6.4,SKS
1985-06-30T02:39:02.910000Z,49.8388,78.6867,0.0,6.0,SKS
1985-06-15T00:57:00.850000Z,49.8461,78.8716,0.0,6.0,SKS
1985-05-19T18:09:16.320000Z,-30.2063,-71.3326,43.9,6.3,SKS
1985-05-15T20:12:42.950000Z,-56.7201,-25.4005,10.0,6.5,SKS
1985-05-14T18:11:12.050000Z,-10.6255,41.3315,33.4,6.4,SKS
1985-05-14T13:25:01.170000Z,-10.7170,41.2631,37.3,6.0,SKS
1985-04-28T08:30:29.510000Z,-39.7143,-75.7027,10.0,6.0,SKS
1985-04-03T13:06:21.900000Z,-32.6378,-71.6751,46.4,6.2,SKS
1985-03-25T05:14:35.700000Z,-34.1409,-72.1001,47.5,6.5,SKS
1985-03-19T04:01:08.180000Z,-33.1470,-71.6874,40.4,6.7,SKS
1985-03-17T10:41:39.210000Z,-32.6820,-71.6300,39.5,6.7,SKS
1985-03-13T19:34:57.900000Z,43.4982,-127.6209,10.0,6.6,SKS
1985-03-09T14:08:04.630000Z,66.2190,-149.9811,12.0,6.1,SKS
1985-03-04T15:01:11.840000Z,-33.7579,-71.1926,77.3,6.3,SKS
1985-03-04T00:32:21.940000Z,-33.2380,-71.7801,33.0,6.0,SKS
1985-03-03T23:38:32.620000Z,-33.0616,-71.3012,36.7,6.3,SKS
1985-03-03T22:47:07.880000Z,-33.0777,-71.7222,36.2,7.5,SKS
1985-01-26T03:07:03.240000Z,-33.0667,-68.5833,40.6,6.2,SKS
1985-01-18T15:00:07.920000Z,-29.3284,-70.8303,71.6,6.3,SKS
1984-12-28T03:50:10.890000Z,49.8256,78.7097,0.0,6.0,SKS
1984-12-16T03:55:02.810000Z,49.8838,78.8236,0.0,6.1,SKS
1984-12-02T06:09:44.370000Z,20.3265,-115.7920,10.0,6.0,SKS
1984-10-27T01:50:10.680000Z,49.9173,78.8286,0.0,6.2,SKS
1984-10-26T20:22:18.010000Z,39.1547,71.3527,6.6,6.0,SKS
1984-09-10T03:14:09.560000Z,40.3859,-126.7984,5.0,6.1,SKS
1984-07-14T01:09:10.540000Z,49.8517,78.9214,0.0,6.2,SKS
1984-06-22T15:55:29.360000Z,-58.4692,-15.9691,10.0,6.2,SKS
1984-06-11T02:05:34.700000Z,-30.6768,-71.2018,49.5,6.3,SKS
1984-05-26T03:13:12.520000Z,49.9252,79.0302,0.0,6.0,SKS
1984-03-19T20:28:38.340000Z,40.3483,63.3611,15.0,7.0,SKS
1984-02-16T17:18:40.150000Z,36.4725,70.8556,192.1,6.1,SKS
1984-01-27T13:01:39.630000Z,36.4763,71.0525,164.1,6.1,SKS
1983-12-30T23:52:39.490000Z,36.4245,70.7494,208.6,7.5,SKS
1983-12-15T04:22:33.890000Z,-33.0877,-70.1490,103.2,6.2,SKS
1983-10-30T04:12:28.130000Z,40.3522,42.1798,16.1,6.1,SKS
1983-10-28T14:06:07.410000Z,44.0968,-113.8076,10.0,6.2,SKS
1983-10-26T01:55:05.000000Z,49.8874,78.9015,0.0,6.1,SKS
1983-10-22T13:07:40.670000Z,-60.6933,-25.4051,43.8,6.2,SKS
1983-10-22T05:53:23.740000Z,-60.4632,-24.9137,33.0,6.3,SKS
1983-10-22T04:21:37.930000Z,-60.7480,-25.6026,24.0,6.5,SKS
1983-10-06T01:47:06.770000Z,49.9090,78.8273,0.0,6.0,SKS
1983-09-12T15:42:08.280000Z,36.5224,71.0963,204.7,6.1,SKS
1983-09-07T19:22:04.940000Z,60.9655,-147.4697,42.8,6.2,SKS
1983-07-22T02:39:54.440000Z,36.2106,-120.3653,9.0,6.0,SKS
1983-07-12T15:10:03.620000Z,61.0405,-147.3711,37.4,6.1,SKS
1983-07-11T12:56:28.790000Z,-60.9048,-53.1037,10.0,6.1,SKS
1983-06-28T03:25:16.650000Z,60.2216,-141.2665,14.0,6.0,SKS
1983-06-12T02:36:43.650000Z,49.9055,78.9672,0.0,6.1,SKS
1983-05-02T23:42:37.730000Z,36.2377,-120.2700,6.8,6.2,SKS
1983-04-18T10:58:49.110000Z,27.7824,62.0698,44.5,6.5,SKS
1982-12-16T00:40:48.560000Z,36.1331,68.9819,34.9,6.2,SKS
1982-12-13T09:12:50.880000Z,14.6712,44.2313,18.1,6.0,SKS
1982-12-05T03:37:12.700000Z,49.8901,78.8597,0.0,6.1,SKS
1982-07-04T01:17:14.520000Z,49.9678,78.8567,0.0,6.1,SKS
1982-06-07T10:59:38.590000Z,16.5772,-98.3436,19.9,6.3,SKS
1982-06-07T06:52:34.600000Z,16.5108,-98.2493,19.4,6.0,SKS
1982-06-01T04:14:17.060000Z,-41.4108,-74.9685,43.9,6.0,SKS
1982-05-07T05:38:35.620000Z,-60.7537,-20.9512,10.0,6.3,SKS
1982-04-25T03:23:05.490000Z,49.8711,78.9166,0.0,6.1,SKS
1982-03-25T05:05:39.670000Z,-52.8890,-46.9784,10.0,6.0,SKS
1982-03-10T21:58:44.450000Z,-56.0544,-27.3695,105.3,6.0,SKS
1981-12-27T03:43:14.190000Z,49.8951,78.8592,0.0,6.2,SKS
1981-11-07T03:29:50.370000Z,-32.1658,-71.4305,56.8,7.0,SKS
1981-11-03T13:47:34.980000Z,43.5559,-127.6996,10.0,6.5,SKS
1981-10-28T04:34:17.520000Z,-31.3819,-110.7909,10.0,6.5,SKS
1981-10-25T03:22:16.490000Z,18.1841,-102.0122,28.1,7.3,SKS
1981-10-18T03:57:02.740000Z,49.8763,78.8853,0.0,6.0,SKS
1981-10-16T03:25:40.480000Z,-33.1525,-73.1011,17.8,7.4,SKS
1981-09-13T02:17:18.360000Z,49.8896,78.9757,0.0,6.0,SKS
1981-07-28T17:22:22.950000Z,29.9875,57.7700,11.1,7.1,SKS
1981-06-11T07:24:25.110000Z,29.8952,57.7184,30.9,6.6,SKS
1981-05-02T16:04:54.560000Z,36.4045,71.1534,217.4,6.3,SKS
1981-01-18T03:06:46.600000Z,-61.1120,-55.5438,27.2,6.0,SKS
1980-12-18T14:26:20.210000Z,15.3374,-98.1820,13.0,6.0,SKS
1980-11-11T10:36:57.730000Z,-51.4912,28.9793,0.0,6.2,SKS
1980-11-08T10:27:31.960000Z,41.1462,-124.3007,4.6,6.2,SKS
1980-10-24T14:53:34.520000Z,18.2169,-98.2027,65.4,6.4,SKS
1980-09-14T02:42:39.290000Z,49.9360,78.8633,0.0,6.2,SKS
1980-07-19T11:52:19.050000Z,-28.9995,-69.6886,96.7,6.1,SKS
1980-06-21T20:19:25.030000Z,-58.0710,-10.6840,0.0,6.0,SKS
1980-05-25T16:33:44.410000Z,37.5952,-118.8022,0.0,6.1,SKS
1979-12-23T04:56:57.640000Z,49.9250,78.7960,0.0,6.1,SKS
1979-12-02T04:36:57.620000Z,49.8808,78.8357,0.0,6.0,SKS
1979-11-27T17:10:33.010000Z,34.0824,59.7946,9.0,6.1,SKS
1979-11-14T02:21:18.150000Z,34.0287,59.8059,3.0,6.0,SKS
1979-10-28T03:16:57.030000Z,49.9611,79.0676,0.0,6.0,SKS
1979-08-20T03:50:52.290000Z,36.4836,70.1500,230.5,6.1,SKS
1979-08-18T02:51:57.310000Z,49.9278,78.9812,0.0,6.1,SKS
1979-08-04T03:56:57.250000Z,49.8602,78.9417,0.0,6.1,SKS
1979-06-23T02:56:59.050000Z,49.8855,78.9159,8.5,6.3,SKS
1979-05-20T08:13:58.410000Z,56.6514,-156.7222,54.9,6.4,SKS
1979-04-14T10:00:24.600000Z,-35.7673,-102.5008,11.7,6.1,SKS
