evtime,evlat,evlon,evdp,evmg,evphase
2025-05-05T03:55:40.806000Z,-35.2752,-107.4288,10.0,6.0,SKS
2025-05-02T17:59:07.738000Z,-57.2763,-67.0184,8.0,6.4,SKS
2025-05-02T12:58:26.322000Z,-56.7817,-68.2085,10.0,7.4,SKS
2025-04-23T09:49:10.874000Z,40.8395,28.1420,10.0,6.2,SKS
2025-03-21T14:53:41.774000Z,51.1558,-176.0703,17.0,6.2,SKS
2025-01-01T13:48:25.461000Z,-56.4048,-26.6920,76.4,6.1,SKS
2024-12-13T23:38:18.234000Z,-35.3300,-70.7256,109.0,6.4,SKS
2024-12-09T00:38:52.848000Z,50.8586,-177.4430,10.0,6.1,SKS
2024-12-09T00:15:30.691000Z,50.9985,-177.1779,19.0,6.3,SKS
2024-12-08T19:57:08.602000Z,51.0018,-177.3278,18.0,6.3,SKS
2024-12-07T17:31:59.483000Z,-40.3557,-16.7546,10.0,6.0,SKS
2024-11-08T11:38:00.416000Z,-46.7782,-75.6266,10.0,6.3,SKS
2024-10-16T07:46:32.572000Z,38.3136,38.8306,10.0,6.0,SKS
2024-09-21T21:24:28.530000Z,-31.8984,-66.7905,141.0,6.0,SKS
2024-07-19T03:13:47.644000Z,52.1152,-170.9249,43.0,6.0,SKS
2024-06-14T04:26:48.660000Z,-30.9405,-13.4722,10.0,6.0,SKS
2024-05-19T09:35:25.025000Z,52.1526,-170.8838,28.0,6.0,SKS
2024-02-23T01:51:13.973000Z,-35.0892,-110.7745,10.0,6.3,SKS
2023-12-21T14:55:56.291000Z,51.2097,-175.3313,20.0,6.1,SKS
2023-10-16T11:35:31.370000Z,52.5239,-176.9315,187.0,6.4,SKS
2023-09-13T11:49:15.723000Z,-36.2532,-97.9528,10.0,6.1,SKS
2023-09-06T23:48:04.631000Z,-30.2763,-71.4870,36.0,6.3,SKS
2023-07-17T03:05:11.491000Z,-38.1858,-70.4260,186.0,6.6,SKS
2023-07-16T06:48:21.155000Z,54.3919,-160.7614,25.0,7.2,SKS
2023-05-26T22:18:25.271000Z,-39.0059,-91.3720,10.0,6.0,SKS
2023-03-30T17:33:08.544000Z,-35.6663,-73.4965,26.0,6.3,SKS
2023-02-20T17:04:29.733000Z,36.1588,36.0342,16.0,6.3,SKS
