evtime,evlat,evlon,evdp,evmg,evphase
2001-02-17T20:11:30.840000Z,53.9740,-133.7560,20.0,6.2,S
2001-02-16T05:59:09.600000Z,-7.1380,117.4870,526.6,6.1,S
2001-02-14T14:16:59.300000Z,-19.6900,177.4250,10.0,6.2,S
2001-02-14T14:04:28.720000Z,-19.6020,177.3760,33.0,6.1,S
2001-02-13T19:28:30.480000Z,-4.7540,102.4780,33.9,7.4,S
2001-02-10T18:21:56.460000Z,11.8770,43.7810,17.8,6.6,S
2001-02-01T18:19:30.990000Z,51.4290,-177.7930,36.6,6.0,S
2001-01-29T23:21:25.620000Z,-0.7170,133.2840,33.0,6.2,S
2001-01-26T03:16:40.260000Z,23.4420,70.3100,16.0,7.7,S
2001-01-19T08:10:16.320000Z,-11.7050,166.3610,63.3,6.3,S
2001-01-16T13:25:09.290000Z,-4.0710,101.7440,28.0,6.8,S
2001-01-16T13:25:01.050000Z,-4.0130,101.6690,33.0,6.0,S
2001-01-15T05:52:15.800000Z,-40.3380,78.3300,10.0,6.4,S
2001-01-15T03:47:24.530000Z,-8.8410,114.8540,93.4,6.8,S
2001-01-10T16:02:43.580000Z,56.9860,-153.4620,33.0,7.0,S
2001-01-09T16:49:29.000000Z,-14.9670,167.1930,112.5,7.0,S
2001-01-02T23:17:44.090000Z,-11.1900,162.4140,52.4,6.0,S
2001-01-02T07:30:08.680000Z,6.7330,126.9330,76.9,6.4,S
2001-01-01T08:54:32.650000Z,6.6110,127.0780,45.0,6.8,S
2001-01-01T06:57:04.040000Z,6.8760,126.6590,33.0,7.5,S
2000-12-28T04:34:28.720000Z,-4.0660,152.4090,33.0,6.2,S
2000-12-23T07:13:22.440000Z,-7.9140,135.7580,46.4,6.0,S
2000-12-22T10:13:01.650000Z,44.7880,147.1970,144.8,6.2,S
2000-12-21T02:41:23.800000Z,-5.3850,154.1650,391.9,6.0,S
2000-12-21T01:01:34.930000Z,-5.8490,151.1320,96.4,6.4,S
2000-12-20T16:49:43.410000Z,-9.2850,154.4880,36.6,6.6,S
2000-12-19T13:11:47.390000Z,11.7130,144.8080,35.8,6.2,S
2000-12-18T01:19:21.310000Z,-21.1540,-179.1150,617.7,6.6,S
2000-12-15T16:44:46.640000Z,38.4020,31.3250,10.0,6.0,S
2000-12-06T22:57:42.250000Z,-4.2570,152.7310,49.2,6.5,S
2000-12-06T17:11:06.610000Z,39.4930,54.8110,33.0,7.0,S
2000-11-25T18:10:46.190000Z,40.1870,49.9520,22.2,6.5,S
2000-11-25T18:09:11.530000Z,40.2220,49.9350,51.0,6.8,S
2000-11-23T18:43:18.870000Z,-4.6220,153.0330,63.4,6.3,S
2000-11-21T21:21:05.680000Z,-5.4470,152.7820,38.8,6.1,S
2000-11-21T17:33:34.540000Z,-5.4460,152.1340,33.0,6.2,S
2000-11-19T05:35:20.150000Z,-5.6040,151.8730,41.8,6.1,S
2000-11-18T23:05:40.400000Z,-5.4140,153.4660,42.7,6.1,S
2000-11-18T06:55:04.880000Z,-5.2650,151.7060,87.3,6.8,S
2000-11-18T02:05:52.120000Z,-5.1440,153.1550,63.6,6.6,S
2000-11-17T21:01:56.230000Z,-5.5170,151.8010,31.3,7.8,S
2000-11-16T07:45:34.630000Z,-4.8620,153.2260,49.0,6.5,S
2000-11-16T07:42:17.250000Z,-5.2200,153.0730,34.2,7.8,S
2000-11-16T05:21:24.380000Z,-5.2020,153.1590,54.3,6.0,S
2000-11-16T04:55:23.840000Z,-4.6430,153.4700,33.0,6.2,S
2000-11-16T04:54:56.160000Z,-3.9750,152.1820,28.0,8.0,S
2000-11-13T15:57:21.100000Z,42.4530,144.7580,28.4,6.0,S
2000-11-07T07:50:09.400000Z,-5.4530,154.0250,91.0,6.2,S
2000-11-01T10:35:54.100000Z,-45.0090,167.1230,12.2,6.1,S
2000-10-31T18:43:19.960000Z,-18.0860,-175.2340,33.3,6.2,S
2000-10-30T12:01:30.090000Z,-9.8550,118.9790,33.8,6.0,S
2000-10-29T08:37:11.190000Z,-5.0940,153.8820,84.8,7.0,S
2000-10-29T08:36:55.750000Z,-5.2450,154.0040,33.8,6.1,S
2000-10-27T04:21:53.950000Z,26.2620,140.5640,412.3,6.1,S
2000-10-25T09:32:24.300000Z,-6.6550,105.6190,44.3,6.8,S
2000-10-21T05:25:13.190000Z,-17.3930,-175.0970,278.8,6.3,S
2000-10-06T04:30:17.510000Z,35.3800,133.1570,0.6,6.7,S
2000-10-05T20:06:13.800000Z,6.8240,126.7870,86.7,6.1,S
2000-10-04T16:58:46.870000Z,-15.3910,166.9090,42.2,7.0,S
2000-10-03T04:13:28.550000Z,40.1950,143.1370,19.3,6.3,S
2000-10-02T02:25:32.750000Z,-7.8450,30.8170,39.6,6.5,S
2000-09-26T06:17:53.480000Z,-17.2620,-173.8840,67.8,6.4,S
2000-09-22T18:22:02.850000Z,-4.9890,102.0990,33.6,6.2,S
2000-09-14T14:59:57.970000Z,-15.8400,179.8990,35.9,6.2,S
2000-09-12T16:27:24.740000Z,-5.4330,101.8170,36.0,6.0,S
2000-09-12T00:27:58.880000Z,35.3700,99.3710,12.0,6.1,S
2000-09-11T17:17:53.490000Z,-15.9120,-173.6620,116.9,6.3,S
2000-09-10T19:06:15.910000Z,-1.1070,129.3810,38.3,6.1,S
2000-09-02T17:02:17.150000Z,-19.9530,-179.0840,650.3,6.0,S
2000-09-01T11:56:51.740000Z,1.4450,96.5480,31.3,6.0,S
2000-08-28T19:29:32.840000Z,-4.1000,127.3210,33.0,6.3,S
2000-08-28T19:29:25.990000Z,-4.1430,127.3130,46.5,6.4,S
2000-08-28T15:38:10.630000Z,-3.9260,127.4540,39.1,6.1,S
2000-08-28T15:05:53.470000Z,-4.0480,127.4580,63.2,6.8,S
2000-08-15T04:30:08.230000Z,-31.5610,179.7440,349.6,6.6,S
2000-08-14T22:11:16.180000Z,-9.3700,153.8660,10.0,6.0,S
2000-08-09T22:56:03.450000Z,-16.8690,174.3370,67.4,6.4,S
2000-08-09T00:08:41.410000Z,-15.7160,167.9810,29.8,6.3,S
2000-08-07T14:33:56.810000Z,-6.9790,123.4250,666.1,6.5,S
2000-08-06T07:27:14.910000Z,28.7950,139.5980,416.9,7.4,S
2000-08-04T21:13:03.320000Z,48.7500,142.2440,13.0,6.8,S
2000-08-03T01:09:43.310000Z,-12.1350,166.4200,73.0,6.6,S
2000-07-31T22:44:37.960000Z,-16.7490,174.5270,65.6,6.2,S
2000-07-30T12:25:45.550000Z,33.8990,139.3750,8.4,6.5,S
2000-07-20T18:39:19.390000Z,36.4890,140.9370,51.0,6.0,S
2000-07-17T22:53:44.280000Z,36.2650,70.9580,114.3,6.3,S
2000-07-16T17:25:24.330000Z,-12.4310,166.5380,41.6,6.1,S
2000-07-16T03:57:48.240000Z,-7.7750,150.8880,27.5,6.6,S
2000-07-16T03:21:43.410000Z,20.2920,122.1400,18.1,6.4,S
2000-07-15T01:30:31.290000Z,34.3430,139.2400,13.1,6.1,S
2000-07-11T01:32:26.560000Z,57.4470,-154.4090,42.2,6.5,S
2000-07-01T07:01:55.620000Z,34.1810,139.1610,8.9,6.1,S
2000-06-25T06:34:47.800000Z,31.1010,131.2370,47.0,6.0,S
2000-06-21T00:51:47.040000Z,63.9050,-20.7420,10.0,6.5,S
2000-06-18T14:44:13.160000Z,-13.7980,97.4240,10.0,7.9,S
2000-06-17T15:40:41.930000Z,63.9220,-20.4670,10.0,6.5,S
2000-06-15T11:10:46.700000Z,29.3320,132.0970,12.4,6.1,S
2000-06-14T23:01:15.720000Z,-17.6610,176.2410,33.0,6.0,S
2000-06-14T17:00:50.930000Z,4.5050,127.6830,116.2,6.3,S
2000-06-14T02:15:28.010000Z,-25.6260,178.0580,631.2,6.4,S
2000-06-11T11:55:12.130000Z,-50.6000,139.5890,10.0,6.6,S
2000-06-10T18:23:29.930000Z,23.8610,121.1850,35.6,6.4,S
2000-06-09T23:31:46.030000Z,30.4530,137.7450,494.0,6.2,S
2000-06-09T08:41:58.210000Z,-11.4360,162.2010,23.9,6.1,S
2000-06-09T01:27:17.530000Z,-5.1420,152.5070,57.2,6.3,S
2000-06-07T23:45:24.790000Z,-4.6150,101.9360,20.2,6.7,S
2000-06-07T21:46:55.860000Z,26.7980,97.1870,33.0,6.3,S
2000-06-06T14:57:01.630000Z,29.4110,131.4580,26.6,6.4,S
2000-06-06T09:58:08.670000Z,-5.0860,102.7500,49.3,6.2,S
2000-06-06T02:41:50.060000Z,40.7000,32.9820,10.0,6.0,S
2000-06-04T17:52:12.350000Z,28.6620,65.3110,8.1,6.0,S
2000-06-04T16:39:46.290000Z,-4.6360,102.0200,37.1,6.7,S
2000-06-04T16:28:28.760000Z,-4.6920,102.1410,52.7,7.9,S
2000-06-03T08:54:49.140000Z,35.5130,140.4440,61.3,6.2,S
2000-05-26T00:30:04.980000Z,11.3460,139.2520,33.0,6.0,S
2000-05-21T19:58:47.590000Z,71.1910,-8.2220,10.0,6.0,S
2000-05-14T20:08:34.760000Z,-4.2970,123.1340,40.1,6.3,S
2000-05-12T23:10:26.540000Z,35.9110,70.6830,77.3,6.3,S
2000-05-08T10:28:25.640000Z,-4.4570,150.0170,503.4,6.1,S
2000-05-06T13:44:14.680000Z,-11.3170,165.4180,17.0,6.3,S
2000-05-04T20:36:29.740000Z,-17.8470,-178.4910,480.3,6.5,S
2000-05-04T04:21:18.720000Z,-1.1710,123.5400,54.0,7.6,S
2000-05-02T15:03:36.470000Z,17.4270,147.5150,51.9,6.0,S
2000-04-21T04:35:19.160000Z,51.4050,-178.1370,44.6,6.0,S
2000-04-19T23:55:16.800000Z,36.5200,27.3480,33.0,7.0,S
2000-04-18T17:28:08.310000Z,-20.5900,-176.4370,182.3,6.0,S
2000-04-07T19:08:31.170000Z,-17.6980,65.9300,10.0,6.3,S
2000-04-03T15:20:02.670000Z,4.0950,125.5920,161.7,6.2,S
2000-03-28T11:00:20.440000Z,22.2640,143.7180,110.1,7.6,S
2000-03-05T23:57:03.500000Z,-62.9070,145.4260,10.0,6.1,S
2000-03-04T02:24:21.490000Z,-60.1610,150.2940,10.0,6.3,S
2000-03-03T22:22:44.190000Z,-6.8450,143.8180,34.9,6.6,S
2000-03-03T22:09:15.830000Z,-7.3400,128.6200,161.7,6.4,S
2000-02-29T22:44:57.420000Z,-18.0560,168.9480,25.8,6.0,S
2000-02-28T22:15:17.130000Z,-17.5300,-178.9160,500.9,6.0,S
2000-02-26T08:11:48.480000Z,13.7570,144.8200,133.4,6.2,S
2000-02-25T01:44:03.020000Z,-19.5780,173.8240,64.2,7.1,S
2000-02-13T02:57:07.810000Z,42.8630,131.6800,501.5,6.0,S
2000-02-06T11:33:56.770000Z,-5.9320,150.9100,72.4,6.6,S
2000-01-28T16:39:23.190000Z,26.0620,124.5470,184.7,6.0,S
2000-01-28T14:21:05.790000Z,43.0500,146.8350,46.0,6.8,S
2000-01-26T13:26:53.910000Z,-17.3310,-173.9650,69.4,6.3,S
2000-01-19T07:09:33.610000Z,36.3870,70.3810,205.8,6.0,S
2000-01-15T12:49:43.030000Z,-21.1270,-179.2030,601.2,6.0,S
2000-01-13T20:07:12.070000Z,-17.5500,-178.7140,501.6,6.2,S
2000-01-09T21:54:42.420000Z,-18.8220,174.3460,48.7,6.4,S
2000-01-08T16:47:14.620000Z,-16.8550,-174.2030,130.7,7.2,S
2000-01-08T01:19:42.080000Z,-9.8640,159.9260,2.7,6.4,S
2000-01-06T21:31:04.470000Z,16.1160,119.3930,19.0,6.2,S
2000-01-06T10:42:25.330000Z,58.1340,-136.9340,1.0,6.1,S
2000-01-05T07:40:36.730000Z,-11.3220,165.3780,5.6,6.1,S
2000-01-01T05:58:20.040000Z,-60.6800,153.6590,10.0,6.0,S
1999-12-29T22:53:57.040000Z,-11.1390,165.2590,33.0,6.2,S
1999-12-29T13:29:19.530000Z,-10.9510,165.3910,33.0,6.9,S
1999-12-24T22:35:39.370000Z,-56.3490,147.0800,10.0,6.1,S
1999-12-24T19:26:05.850000Z,-56.1030,146.8950,10.0,6.3,S
1999-12-22T13:32:33.280000Z,-10.8810,165.4120,5.8,6.0,S
1999-12-21T14:14:59.240000Z,-6.7990,105.6200,73.3,6.5,S
1999-12-19T00:48:39.060000Z,12.8070,144.6410,68.8,6.0,S
1999-12-18T17:44:55.080000Z,-2.4430,139.7160,14.5,6.2,S
1999-12-17T00:27:29.420000Z,-50.2520,139.5380,10.0,6.0,S
1999-12-16T14:17:55.090000Z,-50.3990,139.4180,10.0,6.0,S
1999-12-15T04:41:13.580000Z,-5.8100,150.9660,42.9,6.3,S
1999-12-11T18:03:40.530000Z,15.7580,119.7970,69.6,7.3,S
1999-12-09T10:18:18.640000Z,-6.0550,148.1340,73.7,6.4,S
1999-12-08T13:34:42.880000Z,-9.8990,160.0360,21.0,6.1,S
1999-12-07T21:29:42.450000Z,-15.9520,-173.9170,77.4,6.4,S
1999-12-07T00:19:47.930000Z,57.3470,-154.5640,25.7,6.4,S
1999-12-06T23:12:28.650000Z,57.3950,-154.5740,19.5,7.0,S
1999-11-29T03:46:30.180000Z,-1.3010,89.0050,10.0,6.4,S
1999-11-26T13:21:15.970000Z,-16.3240,168.1350,35.2,7.5,S
1999-11-26T00:28:56.330000Z,55.1320,165.3470,4.8,6.0,S
1999-11-19T13:56:47.770000Z,-6.3220,148.7000,44.6,7.0,S
1999-11-18T14:27:46.130000Z,0.5300,126.0730,67.2,6.0,S
1999-11-17T11:36:37.520000Z,-6.0220,148.7270,70.3,6.3,S
1999-11-17T03:27:45.580000Z,-6.0340,148.7360,81.7,6.9,S
1999-11-15T05:42:43.110000Z,-1.3740,88.9690,10.0,7.0,S
1999-11-12T16:57:19.820000Z,40.8060,31.1870,10.4,7.2,S
1999-11-11T18:05:44.020000Z,1.2460,100.2140,214.6,6.2,S
1999-11-11T02:41:07.320000Z,49.3360,155.6220,51.0,6.1,S
1999-11-08T16:45:41.800000Z,36.5240,71.2330,214.5,6.5,S
1999-11-01T17:53:03.180000Z,23.4110,121.6140,58.5,6.3,S
1999-10-25T20:31:42.480000Z,-38.6700,175.7320,152.5,6.0,S
1999-10-24T04:21:39.000000Z,44.5780,149.4430,17.4,6.0,S
1999-10-23T02:12:05.450000Z,-4.8380,153.4070,91.5,6.3,S
