evtime,evlat,evlon,evdp,evmg,evphase
2001-01-11T00:04:06.740000Z,49.1650,-128.8980,10.0,6.0,SKS
2000-06-02T11:13:49.080000Z,44.4300,-130.1800,10.0,6.2,SKS
2000-01-20T09:41:53.490000Z,43.6970,-126.5640,10.0,6.1,SKS
1999-10-16T09:46:45.000000Z,34.5780,-116.4420,0.0,7.2,SKS
1998-10-11T23:36:22.950000Z,-56.6834,-142.5749,10.0,6.2,SKS
1998-08-30T11:33:34.790000Z,51.0358,-130.3903,10.0,6.1,SKS
1998-08-05T12:54:25.890000Z,-54.7225,-135.5837,10.0,6.0,SKS
1998-07-09T05:19:07.450000Z,38.6144,-28.5708,10.0,6.2,SKS
1998-02-16T23:53:19.940000Z,52.6815,-33.6622,10.0,6.7,SKS
1997-05-27T06:10:31.990000Z,-54.9442,-136.1159,10.0,6.0,SKS
1996-10-06T20:13:09.570000Z,49.0097,-127.8937,10.0,6.0,SKS
1996-06-22T00:32:13.660000Z,-53.8178,8.7350,10.0,6.4,SKS
1995-08-23T13:14:42.770000Z,-56.8602,-141.4837,12.0,6.1,SKS
1995-05-23T22:10:12.110000Z,-55.8781,-3.3776,10.0,6.6,SKS
1995-04-17T07:14:35.320000Z,33.7589,-38.5803,10.0,6.2,SKS
1995-02-19T04:03:16.430000Z,40.5611,-125.5335,10.0,6.4,SKS
1994-10-27T17:45:57.970000Z,43.4388,-127.5231,20.0,6.3,SKS
1994-09-12T12:23:43.630000Z,38.8403,-119.6452,14.0,6.1,SKS
1994-09-01T15:15:53.510000Z,40.4360,-125.6911,10.0,7.1,SKS
1994-05-26T08:26:52.700000Z,35.2793,-4.1169,10.9,6.0,SKS
1994-01-17T12:30:54.620000Z,34.1360,-118.5826,15.9,6.7,SKS
1993-09-21T03:28:55.620000Z,42.3145,-122.0027,10.7,6.0,SKS
1993-05-17T23:20:52.060000Z,37.1278,-117.8111,25.9,6.1,SKS
1992-11-30T09:32:37.710000Z,35.6908,-34.5846,19.6,6.0,SKS
1992-06-28T15:05:31.270000Z,34.2695,-116.7825,10.0,6.3,SKS
1992-06-28T11:57:35.900000Z,34.2483,-116.4781,1.1,7.2,SKS
