evtime,evlat,evlon,evdp,evmg,evphase
1988-05-01T23:06:31.070000Z,-55.9017,-27.6175,117.3,6.1,SKS
1988-03-25T19:36:46.500000Z,62.1139,-124.1646,10.0,6.1,SKS
1988-03-06T23:14:36.300000Z,57.7406,-142.9365,10.0,6.2,SKS
1988-03-06T22:35:36.150000Z,57.2739,-142.7928,10.0,7.3,SKS
1987-11-30T19:23:15.600000Z,58.8045,-142.5990,10.0,7.8,SKS
1987-11-17T08:46:50.350000Z,58.8183,-143.2462,10.0,7.2,SKS
1987-08-29T14:15:16.110000Z,-56.5219,-25.5827,15.0,6.0,SKS
1987-08-14T17:39:29.510000Z,53.3859,-169.1888,93.6,6.0,SKS
1987-06-21T05:46:10.130000Z,54.1977,-162.6616,33.8,6.5,SKS
1987-05-25T11:31:54.860000Z,63.8003,-19.6539,8.0,6.0,SKS
1987-02-27T08:31:54.520000Z,53.4424,-167.2878,10.0,6.7,SKS
1987-02-23T02:43:40.360000Z,-57.9828,-25.5246,27.0,6.3,SKS
1987-01-30T22:29:43.010000Z,-60.0525,-26.8848,53.1,7.0,SKS
1987-01-05T12:11:56.960000Z,52.6225,-169.4271,33.0,6.1,SKS
1986-12-22T14:18:38.020000Z,-56.8888,-48.8074,10.0,6.5,SKS
1986-09-13T09:28:24.450000Z,-60.7863,-36.7420,10.0,6.3,SKS
1986-09-12T23:57:15.830000Z,56.1937,-153.4011,31.0,6.5,SKS
1986-06-19T09:09:10.120000Z,56.3862,-152.8589,17.0,6.8,SKS
1986-04-14T14:52:10.720000Z,-57.7758,-24.3829,11.0,6.4,SKS
1985-12-23T05:16:03.450000Z,62.1887,-124.2744,6.0,6.9,SKS
1985-11-06T08:15:43.170000Z,-58.7167,-26.2122,164.1,6.2,SKS
1985-10-31T19:33:09.110000Z,53.2059,-166.9211,51.0,6.1,SKS
1985-10-09T09:33:32.610000Z,54.7282,-159.6493,30.0,6.6,SKS
1985-10-05T15:24:02.450000Z,62.2158,-124.2647,10.0,6.7,SKS
1985-07-28T22:59:54.990000Z,-60.3006,-27.0018,33.0,6.4,SKS
1985-05-15T20:12:42.950000Z,-56.7201,-25.4005,10.0,6.5,SKS
1985-03-13T19:34:57.900000Z,43.4982,-127.6209,10.0,6.6,SKS
1985-03-09T14:08:04.630000Z,66.2190,-149.9811,12.0,6.1,SKS
1984-06-22T15:55:29.360000Z,-58.4692,-15.9691,10.0,6.2,SKS
1983-11-16T16:12:59.960000Z,19.4948,-155.4407,3.8,6.7,SKS
1983-10-22T13:07:40.670000Z,-60.6933,-25.4051,43.8,6.2,SKS
1983-10-22T05:53:23.740000Z,-60.4632,-24.9137,33.0,6.3,SKS
1983-10-22T04:21:37.930000Z,-60.7480,-25.6026,24.0,6.5,SKS
1983-09-07T19:22:04.940000Z,60.9655,-147.4697,42.8,6.2,SKS
1983-07-12T15:10:03.620000Z,61.0405,-147.3711,37.4,6.1,SKS
1983-07-11T12:56:28.790000Z,-60.9048,-53.1037,10.0,6.1,SKS
1983-06-28T03:25:16.650000Z,60.2216,-141.2665,14.0,6.0,SKS
1983-02-14T08:10:04.340000Z,54.9909,-159.2418,37.3,6.0,SKS
1983-02-14T03:20:05.090000Z,55.0336,-159.1880,45.5,6.5,SKS
1983-01-17T12:41:30.140000Z,38.0702,20.2457,14.0,6.1,SKS
