evtime,evlat,evlon,evdp,evmg,evphase
1993-10-24T07:52:18.520000Z,16.8338,-98.7312,39.0,6.7,SKS
1993-10-19T04:02:22.070000Z,-22.4081,-65.9791,275.1,6.0,SKS
1993-10-02T08:42:32.770000Z,38.1746,88.6595,14.1,6.0,SKS
1993-09-21T03:28:55.620000Z,42.3145,-122.0027,10.7,6.0,SKS
1993-09-18T05:02:27.610000Z,36.4543,71.5968,117.0,6.3,SKS
1993-09-04T11:38:39.990000Z,36.4079,70.8162,204.8,6.0,SKS
1993-08-09T12:42:47.880000Z,36.3549,70.8738,211.7,7.0,SKS
1993-08-09T11:38:31.660000Z,36.4307,70.7223,215.5,6.4,SKS
1993-07-11T13:36:22.210000Z,-25.2319,-70.0546,52.4,6.6,SKS
1993-06-12T20:33:26.390000Z,51.2440,157.6861,49.4,6.3,SKS
1993-06-08T23:17:41.040000Z,-31.5157,-69.2360,107.8,6.3,SKS
1993-06-08T13:03:36.950000Z,51.1822,157.8160,75.2,7.1,SKS
1993-05-25T23:16:42.790000Z,55.0130,-160.5586,29.9,6.2,SKS
1993-05-24T23:51:26.430000Z,-22.8876,-66.5216,215.3,7.0,SKS
1993-05-24T23:51:20.550000Z,-23.3213,-66.5876,221.0,6.2,SKS
1993-05-17T23:20:52.060000Z,37.1278,-117.8111,25.9,6.1,SKS
1993-05-15T21:52:22.570000Z,51.3358,-178.6905,12.3,6.8,SKS
1993-05-15T03:12:34.690000Z,16.8148,-98.3607,29.2,6.1,SKS
1993-05-15T03:09:38.710000Z,16.7385,-98.3864,19.7,6.0,SKS
1993-05-13T11:59:47.200000Z,55.0014,-160.3909,33.3,6.9,SKS
1993-05-06T13:03:20.270000Z,-8.5047,-71.4648,600.6,6.1,SKS
1993-04-18T09:16:22.080000Z,-11.6552,-76.5224,95.3,6.3,SKS
1993-03-15T16:08:56.550000Z,-26.6926,-70.9140,19.2,6.7,SKS
1992-12-19T12:14:19.860000Z,51.8753,158.4262,33.6,6.1,SKS
1992-11-28T03:13:33.700000Z,-31.2821,-71.9752,11.7,6.5,SKS
1992-10-01T05:02:34.310000Z,51.1045,-177.9862,14.8,6.1,SKS
1992-09-30T05:33:58.010000Z,51.2572,-178.0520,15.9,6.6,SKS
1992-09-30T03:27:59.240000Z,51.3829,-178.6259,26.0,6.0,SKS
1992-09-11T03:57:26.540000Z,-6.0808,26.6392,10.8,6.4,SKS
1992-09-02T01:51:04.600000Z,11.2930,-93.0800,50.0,6.7,SKS
1992-08-19T03:20:27.670000Z,42.0559,73.2501,17.0,6.1,SKS
1992-08-19T03:12:03.990000Z,42.0663,73.2883,14.8,6.0,SKS
1992-08-19T02:12:53.510000Z,42.0931,73.5161,6.3,6.1,SKS
1992-08-19T02:04:37.390000Z,42.1232,73.5957,27.4,7.3,SKS
1992-08-19T00:57:40.390000Z,50.4640,-174.9320,9.9,6.1,SKS
1992-08-07T18:19:20.270000Z,57.5938,-142.9356,13.6,6.9,SKS
1992-07-13T18:11:35.730000Z,-3.8863,-76.5887,113.8,6.3,SKS
1992-07-13T15:34:03.910000Z,51.1441,157.6514,39.6,6.2,SKS
1992-06-28T15:05:31.270000Z,34.2695,-116.7825,10.0,6.3,SKS
1992-06-28T11:57:35.900000Z,34.2483,-116.4781,1.1,7.2,SKS
1992-06-20T18:37:53.700000Z,10.0340,-91.8580,50.0,6.2,SKS
1992-06-03T06:10:54.360000Z,51.0900,178.7351,21.9,6.1,SKS
1992-05-21T04:59:57.420000Z,41.5268,88.8076,0.0,6.5,SKS
1992-05-20T12:20:32.940000Z,33.3547,71.3279,16.3,6.3,SKS
1992-04-26T11:18:26.330000Z,40.4722,-124.3558,22.2,6.7,SKS
1992-04-25T18:06:04.830000Z,40.3641,-124.0499,15.1,7.1,SKS
1992-04-24T07:07:23.800000Z,27.5186,66.0949,25.0,6.2,SKS
1992-04-23T04:50:23.410000Z,33.9082,-116.4840,12.4,6.2,SKS
1992-04-06T13:54:40.300000Z,50.6453,-130.0591,10.0,6.7,SKS
1992-03-13T16:01:04.460000Z,52.4248,-178.9767,197.0,6.4,SKS
1992-03-05T14:39:10.110000Z,52.8698,159.6193,44.6,6.4,SKS
1992-03-02T12:29:39.930000Z,52.8835,159.8808,41.7,6.9,SKS
1992-02-26T03:45:19.560000Z,11.7405,57.7599,10.0,6.0,SKS
1992-01-02T16:40:40.770000Z,48.7310,-129.2210,10.0,6.1,SKS
1991-12-27T09:09:37.800000Z,51.0409,98.1543,13.5,6.3,SKS
1991-11-26T10:41:33.360000Z,51.8293,-176.1295,45.4,6.0,SKS
1991-10-19T21:23:14.780000Z,30.7697,78.7914,13.2,6.8,SKS
1991-08-17T22:17:15.000000Z,41.8481,-125.4130,13.5,6.9,SKS
1991-08-17T19:29:39.620000Z,40.2684,-124.1331,12.0,6.3,SKS
1991-08-16T22:26:16.920000Z,41.7202,-125.4227,7.0,6.4,SKS
1991-08-14T12:53:24.980000Z,54.3541,-169.3574,263.4,6.0,SKS
1991-07-14T09:09:12.750000Z,36.4196,71.1455,218.9,6.4,SKS
1991-07-13T02:50:14.880000Z,42.1904,-125.6453,11.0,6.8,SKS
1991-07-06T12:19:49.940000Z,-13.1921,-72.2228,112.3,7.0,SKS
1991-06-23T21:22:29.140000Z,-26.7523,-63.3036,558.4,7.1,SKS
1991-05-30T13:17:43.330000Z,54.5851,-161.5904,37.2,6.8,SKS
1991-05-24T20:50:55.080000Z,-16.5432,-70.7023,123.6,6.9,SKS
1991-05-01T07:18:42.030000Z,62.5808,-151.5413,109.4,6.3,SKS
1991-04-05T15:50:47.120000Z,-14.2299,-75.4982,48.7,6.3,SKS
1991-04-05T04:19:49.300000Z,-5.9699,-77.1001,17.2,6.9,SKS
1991-04-04T15:23:20.850000Z,-6.0402,-77.1296,20.7,6.5,SKS
1991-03-08T11:36:28.390000Z,60.8555,167.0162,13.0,6.6,SKS
1991-02-21T02:35:34.250000Z,58.4298,-175.4485,20.2,6.5,SKS
1991-02-16T01:23:36.170000Z,48.2781,154.3439,8.0,6.3,SKS
1991-01-31T23:03:33.360000Z,35.9890,70.4521,139.8,6.7,SKS
1991-01-23T01:12:28.930000Z,51.9582,178.8066,100.2,6.5,SKS
1990-11-12T12:28:49.980000Z,42.9436,78.0730,8.9,6.4,SKS
1990-11-06T20:14:29.960000Z,53.4496,169.8290,24.8,7.1,SKS
1990-11-06T18:45:53.070000Z,28.2299,55.4695,15.7,6.4,SKS
1990-10-25T04:53:59.870000Z,35.1174,70.4720,111.9,6.0,SKS
1990-10-17T14:30:15.170000Z,-11.0091,-70.7671,625.9,7.0,SKS
1990-10-10T01:00:01.400000Z,-19.4754,-66.5630,225.9,6.6,SKS
1990-09-02T04:26:47.220000Z,-0.1293,-80.2849,7.8,6.6,SKS
1990-08-16T04:59:57.700000Z,41.5179,88.7523,0.0,6.2,SKS
1990-08-03T09:15:03.860000Z,47.9667,84.9726,15.9,6.2,SKS
1990-07-09T15:11:20.420000Z,5.4005,31.6673,12.6,6.6,SKS
1990-06-20T21:00:10.860000Z,36.9893,49.3462,18.5,7.3,SKS
1990-06-17T04:51:45.850000Z,27.4481,65.7410,14.5,6.1,SKS
1990-06-14T12:47:28.490000Z,47.8476,85.0625,54.3,6.6,SKS
1990-05-31T07:35:29.630000Z,17.3494,-100.6546,37.9,6.0,SKS
1990-05-30T02:34:02.560000Z,-6.0307,-77.2142,2.5,6.6,SKS
1990-05-24T20:00:08.220000Z,5.3589,31.8660,16.0,6.5,SKS
1990-05-24T19:34:47.130000Z,5.3251,31.8438,36.6,6.4,SKS
1990-05-20T02:22:01.180000Z,5.0708,32.1588,14.9,7.2,SKS
1990-05-15T14:25:21.080000Z,36.0324,70.4359,116.9,6.0,SKS
1990-05-14T21:34:05.780000Z,-35.8445,-71.4025,87.1,6.2,SKS
1990-05-12T04:50:08.650000Z,49.0499,141.8801,602.5,7.2,SKS
1990-05-01T16:12:21.540000Z,58.8475,-156.8274,209.7,6.6,SKS
1990-04-26T09:37:46.290000Z,36.2050,100.2174,9.6,6.3,SKS
1990-04-21T18:54:57.110000Z,-36.8422,-73.1469,39.5,6.3,SKS
1990-04-17T01:59:29.960000Z,39.3781,75.0315,15.0,6.0,SKS
