evtime,evlat,evlon,evdp,evmg,evphase
2024-09-01T20:13:34.201000Z,-6.8295,155.5297,39.0,6.4,s
2024-07-22T05:04:30.168000Z,-15.5442,168.0426,10.0,6.0,s
2024-06-16T00:27:57.135000Z,-61.0037,154.1287,10.8,6.0,s
2024-05-31T15:54:41.575000Z,-28.9482,-176.8762,19.7,6.2,s
2024-05-25T22:23:16.060000Z,-17.1155,167.8753,22.3,6.3,s
2024-05-08T08:17:18.712000Z,-15.1551,168.0225,40.5,6.1,s
2024-04-14T20:56:28.097000Z,-5.8037,151.0832,49.0,6.5,s
2024-03-27T01:28:21.000000Z,-20.9000,173.8000,10.0,6.7,s
2024-03-27T01:28:17.689000Z,-21.0715,173.7373,10.0,6.4,s
2024-03-13T15:13:22.767000Z,-5.8435,150.6779,44.0,6.0,s
2024-03-05T19:52:52.612000Z,-59.1953,158.7607,10.0,6.1,s
2024-03-03T16:16:53.995000Z,-58.8881,159.1441,23.2,6.8,s
2024-02-09T10:57:48.482000Z,-29.9268,-177.2323,13.0,6.1,s
2024-01-23T14:33:45.022000Z,-17.9827,168.0499,31.0,6.3,s
2023-12-07T12:56:31.002000Z,-20.5962,169.2899,54.5,7.1,s
2023-11-22T04:47:31.592000Z,-14.9578,167.9708,13.0,6.7,s
2023-10-29T04:32:07.879000Z,-19.3971,168.7776,72.5,6.0,s
2023-10-23T10:10:17.738000Z,-29.8707,-177.5125,44.0,6.0,s
2023-10-11T20:04:58.206000Z,-52.0446,139.6131,10.0,6.3,s
2023-10-07T08:40:11.980000Z,-5.4981,146.1063,57.7,6.9,s
2023-10-07T08:34:26.903000Z,-5.6034,146.1381,55.0,6.7,s
2023-09-28T14:40:25.892000Z,-15.5866,167.7410,125.0,6.1,s
2023-09-21T21:11:48.985000Z,-14.0146,167.2008,185.0,6.1,s
2023-09-08T09:09:57.277000Z,-32.7996,-179.3741,79.0,6.6,s
2023-08-16T12:47:39.720000Z,-13.8882,167.2249,188.0,6.5,s
2023-07-26T12:44:35.647000Z,-14.7407,167.9116,13.0,6.4,s
2023-07-24T02:49:57.893000Z,-24.1376,178.7628,546.0,6.0,s
2023-05-31T02:21:23.997000Z,-49.6093,163.8553,14.8,6.3,s
2023-05-23T06:41:58.609000Z,-22.9954,170.3067,10.0,6.1,s
2023-05-21T15:45:13.303000Z,-10.2725,161.4437,82.3,6.1,s
2023-05-20T02:09:54.359000Z,-22.9824,170.5423,10.0,6.5,s
2023-05-20T01:50:58.953000Z,-23.0483,170.5113,25.8,7.1,s
2023-05-19T02:57:05.349000Z,-23.1903,170.7343,33.0,7.7,s
2023-04-28T03:13:48.485000Z,-25.1913,178.4639,563.0,6.6,s
2023-04-28T03:13:44.448000Z,-25.1472,178.5086,587.8,6.0,s
2023-04-24T00:41:53.607000Z,-29.9918,-177.8114,29.0,7.1,s
2023-04-19T09:06:03.156000Z,-5.9460,149.6328,40.0,6.3,s
2023-04-18T04:31:43.586000Z,-22.3163,179.4293,596.4,6.7,s
2023-03-27T22:19:15.836000Z,-8.2105,158.9268,86.0,6.1,s
2023-03-16T00:56:00.139000Z,-30.1743,-176.1982,10.0,7.0,s
2023-03-14T00:49:08.507000Z,-5.4168,146.8558,213.0,6.3,s
2023-03-04T06:41:22.998000Z,-29.5025,-178.7966,210.0,6.9,s
2023-03-02T18:04:29.747000Z,-15.3592,166.3784,10.0,6.4,s
2023-02-25T21:24:48.550000Z,-6.0978,149.8103,39.5,6.2,s
2023-02-13T09:18:07.995000Z,-29.5218,-177.9727,374.0,6.1,s
2023-01-26T10:45:52.806000Z,-30.1971,-178.6338,131.0,6.0,s
2023-01-08T12:32:42.372000Z,-14.9466,166.8794,29.0,7.0,s
2022-12-28T16:34:20.266000Z,-21.2543,171.3886,10.0,6.1,s
2022-11-22T02:37:57.078000Z,-9.8945,159.4708,10.0,6.0,s
2022-11-22T02:03:06.920000Z,-9.8090,159.5936,14.0,7.0,s
2022-11-14T05:04:11.752000Z,-26.0418,178.2262,627.4,6.1,s
2022-11-09T10:14:33.810000Z,-25.5781,178.2612,624.5,6.6,s
2022-11-09T09:38:42.828000Z,-26.0077,178.2776,630.4,6.8,s
2022-09-14T11:04:06.558000Z,-21.1909,170.2666,137.0,7.0,s
2022-09-10T23:47:00.232000Z,-6.2949,146.5025,116.0,7.6,s
2022-09-02T22:39:51.598000Z,-5.6569,148.7090,126.0,6.1,s
2022-08-14T21:04:44.737000Z,-22.0781,170.9660,78.0,6.4,s
2022-08-14T13:44:19.694000Z,-32.7361,-179.0088,30.0,6.6,s
2022-07-11T21:10:47.795000Z,-18.1496,168.9566,10.0,6.0,s
2022-06-04T13:17:48.209000Z,-57.7326,148.6945,10.0,6.4,s
2022-05-26T15:37:58.544000Z,-22.8434,172.1356,15.0,6.6,s
2022-05-22T07:06:28.342000Z,-26.2067,178.4435,602.0,6.3,s
2022-05-19T10:13:31.625000Z,-54.1320,159.0545,10.0,6.9,s
2022-04-17T07:46:36.161000Z,-15.6793,167.8466,200.9,6.1,s
2022-04-09T20:52:38.456000Z,-16.3146,166.8601,17.0,6.3,s
2022-04-04T16:06:57.662000Z,-17.4723,167.8625,31.0,6.0,s
2022-03-31T19:50:40.985000Z,-22.6577,170.8084,20.0,6.4,s
2022-03-31T05:44:01.141000Z,-22.5855,170.3749,10.0,7.0,s
2022-03-30T20:56:58.151000Z,-22.6709,170.3778,10.0,6.9,s
2022-03-23T21:57:00.142000Z,-15.0825,167.4442,115.0,6.0,s
2022-03-20T18:10:43.784000Z,-28.6575,-177.3998,47.6,6.0,s
2022-03-02T12:52:07.343000Z,-30.0757,-177.7277,24.0,6.6,s
2022-02-16T20:21:06.737000Z,-23.7682,179.9981,535.0,6.8,s
2022-01-29T02:46:39.597000Z,-29.5680,-176.7255,8.0,6.5,s
2022-01-16T12:52:08.025000Z,-6.4492,154.8224,379.0,6.1,s
2022-01-10T00:06:30.834000Z,-33.7823,179.5740,7.0,6.2,s
2022-01-03T02:09:44.647000Z,-13.1864,166.8148,104.0,6.0,s
2021-12-12T08:58:07.323000Z,-60.7956,154.1393,10.0,6.6,s
2021-11-25T12:04:05.727000Z,-10.7451,166.5044,10.0,6.1,s
2021-10-21T08:10:43.027000Z,-25.3160,179.6040,487.0,6.1,s
2021-10-18T07:26:52.398000Z,-13.7397,166.9399,96.5,6.1,s
