evtime,evlat,evlon,evdp,evmg,evphase
2004-03-18T20:04:22.790000Z,-23.9592,-176.0065,10.0,6.2,S
2004-03-12T22:13:09.800000Z,-15.5782,-175.0733,244.1,6.0,S
2004-03-09T22:56:40.620000Z,-32.4724,-178.2418,18.4,6.2,S
2004-02-23T16:04:45.320000Z,-14.8226,-175.5450,15.3,6.1,S
2004-02-22T06:46:26.870000Z,-1.5802,100.4126,51.3,6.0,S
2004-02-20T05:58:43.460000Z,-11.6436,166.3886,76.6,6.0,S
2004-02-08T08:58:48.660000Z,-3.7005,135.3714,13.7,6.7,S
2004-02-07T02:42:34.180000Z,-4.0301,135.0876,15.0,7.3,S
2004-02-05T21:05:02.950000Z,-3.6455,135.5219,28.3,7.0,S
2004-01-29T03:52:50.880000Z,-50.2359,-114.7297,10.0,6.1,S
2004-01-28T22:15:28.730000Z,-3.1066,127.3201,17.4,6.6,S
2004-01-25T11:43:10.380000Z,-16.8453,-174.1696,129.6,6.6,S
2004-01-15T07:26:50.620000Z,-3.5249,151.0673,2.4,6.2,S
2004-01-11T09:29:07.920000Z,-20.2042,-179.1342,661.8,6.0,S
2004-01-09T22:35:25.290000Z,-5.9687,149.3698,21.4,6.3,S
2004-01-03T16:34:30.070000Z,-22.4878,169.8606,33.5,6.1,S
2004-01-03T16:23:17.600000Z,-22.3038,169.6596,9.4,7.1,S
2004-01-03T08:21:49.160000Z,-22.3680,169.5742,25.3,6.3,S
2004-01-03T08:09:02.400000Z,-22.2378,169.5581,10.0,6.1,S
2004-01-03T08:07:34.090000Z,-22.3972,169.7068,17.0,6.0,S
2003-12-29T01:30:54.190000Z,42.3868,144.6432,29.4,6.1,S
2003-12-27T22:55:02.040000Z,-21.6571,169.7093,10.0,6.3,S
2003-12-27T22:38:02.580000Z,-21.6225,169.8299,10.6,6.7,S
2003-12-27T16:01:00.240000Z,-21.8913,169.7329,10.0,7.3,S
2003-12-27T04:55:26.190000Z,-22.0752,169.4031,15.0,6.1,S
2003-12-26T21:26:04.070000Z,-22.2753,169.3482,10.0,6.8,S
2003-12-25T23:09:43.650000Z,-22.3027,169.5556,10.8,6.0,S
2003-12-25T20:42:33.610000Z,-22.1534,169.5401,6.4,6.5,S
2003-12-22T19:15:56.640000Z,35.6653,-121.0549,10.0,6.6,S
2003-12-10T04:38:14.750000Z,23.0988,121.3840,27.6,6.8,S
2003-12-09T12:44:00.790000Z,51.2946,-179.2995,26.8,6.2,S
2003-12-05T21:26:09.820000Z,55.5858,165.7580,9.9,6.6,S
2003-11-25T20:19:49.900000Z,-5.6637,150.9514,63.0,6.5,S
2003-11-18T17:14:24.300000Z,12.1064,125.4699,47.9,6.5,S
2003-11-17T06:43:05.980000Z,51.1032,178.6421,27.1,7.8,S
2003-11-14T04:28:32.600000Z,-16.6374,172.3078,2.6,6.0,S
2003-11-12T08:26:43.950000Z,33.2416,137.0524,381.8,6.3,S
2003-11-12T00:29:47.040000Z,1.5154,126.4566,49.1,6.2,S
2003-11-11T15:39:33.120000Z,-30.6141,-179.1357,30.4,6.0,S
2003-11-11T13:44:50.330000Z,-30.5975,-178.9158,14.4,6.0,S
2003-11-06T10:38:05.320000Z,-19.2787,168.8900,119.7,6.6,S
2003-11-02T05:32:15.330000Z,-45.0529,166.6620,10.0,6.4,S
2003-10-31T01:06:30.620000Z,37.8541,142.6143,23.0,7.0,S
2003-10-28T02:33:51.550000Z,-5.3716,151.5014,63.5,6.0,S
2003-10-22T11:45:30.320000Z,-6.0662,147.7629,45.6,6.3,S
2003-10-18T22:27:15.040000Z,0.4920,126.1058,51.0,6.3,S
2003-10-17T10:19:09.120000Z,-5.5038,154.1789,150.2,6.4,S
2003-10-09T22:19:15.910000Z,13.7255,119.9826,51.6,6.0,S
2003-10-08T09:06:56.860000Z,42.5899,144.5474,45.2,6.7,S
2003-10-07T04:55:28.840000Z,-16.5093,-170.1977,10.0,6.1,S
2003-09-30T14:08:40.460000Z,-30.6604,-177.3669,32.7,6.4,S
2003-09-29T02:36:55.220000Z,42.3970,144.3735,41.1,6.5,S
2003-09-26T20:38:19.150000Z,41.9750,144.5309,12.2,6.0,S
2003-09-25T21:07:59.800000Z,41.6835,143.5984,31.8,7.3,S
2003-09-21T18:16:12.650000Z,19.8741,95.6346,4.5,6.6,S
2003-09-12T06:55:56.400000Z,-5.2659,151.5001,51.4,6.0,S
2003-09-11T21:58:25.530000Z,-8.2829,156.1785,10.0,6.0,S
2003-09-07T13:19:22.790000Z,-22.4397,172.0582,49.5,6.3,S
2003-09-06T02:08:14.370000Z,-4.5496,-106.0057,10.0,6.0,S
2003-09-02T18:28:00.200000Z,-15.2917,-173.1703,10.0,6.4,S
2003-08-31T23:07:59.160000Z,43.3971,132.3160,467.3,6.1,S
2003-08-30T00:05:39.420000Z,-14.7823,167.2151,136.2,6.0,S
2003-08-28T04:48:20.080000Z,-49.7474,-114.9378,10.0,6.2,S
2003-08-21T12:12:47.320000Z,-45.0875,167.0892,6.8,7.2,S
2003-08-11T21:22:30.440000Z,12.1249,93.4971,100.3,6.0,S
2003-08-11T00:19:13.820000Z,1.1617,128.2811,45.0,6.0,S
2003-07-27T06:25:31.760000Z,47.1047,139.2147,467.5,6.7,S
2003-07-27T02:04:11.200000Z,-21.1188,-176.5573,211.2,6.6,S
