evtime,evlat,evlon,evdp,evmg,evphase
2004-03-27T18:47:27.560000Z,33.9886,89.1815,9.0,6.0,SKS
2004-03-17T03:21:06.800000Z,-21.1257,-65.6315,290.9,6.1,SKS
2004-03-02T03:47:25.390000Z,11.6664,-86.9822,65.1,6.2,SKS
2004-02-26T20:32:21.430000Z,-17.9016,66.3883,14.1,6.2,SKS
2004-02-21T02:34:43.130000Z,-58.7911,-15.5966,10.0,6.6,SKS
2004-02-04T11:59:45.920000Z,8.3181,-82.9529,29.4,6.1,SKS
2004-01-11T04:32:46.310000Z,-36.6941,53.4413,5.3,6.2,SKS
2004-01-01T23:31:48.890000Z,17.5937,-101.3577,27.3,6.0,SKS
2003-12-26T01:56:53.180000Z,28.9653,58.3044,15.0,6.6,SKS
2003-12-25T07:11:11.720000Z,8.3639,-82.8165,33.4,6.5,SKS
2003-12-01T01:38:35.390000Z,42.8809,80.5233,33.0,6.0,SKS
2003-10-01T01:03:26.310000Z,50.1599,87.7071,17.7,6.6,SKS
2003-09-27T18:52:46.060000Z,50.0871,87.7632,4.0,6.4,SKS
2003-09-27T11:33:25.130000Z,50.0089,87.7788,16.0,7.3,SKS
2003-08-04T04:37:20.920000Z,-60.5323,-43.4511,10.0,7.6,SKS
2003-07-27T11:41:27.020000Z,-20.1367,-65.1250,345.0,6.0,SKS
2003-07-17T19:57:13.870000Z,18.5205,-107.0692,10.0,6.0,SKS
2003-07-15T20:27:50.720000Z,-2.6398,68.3563,10.0,7.5,SKS
2003-06-20T13:30:43.030000Z,-30.6212,-71.5383,42.9,6.8,SKS
2003-06-20T06:19:40.110000Z,-7.6253,-71.7128,572.0,7.0,SKS
2003-05-28T16:15:18.800000Z,-17.7152,66.0256,10.0,6.2,SKS
2003-05-19T16:27:11.100000Z,17.6252,-105.4691,10.0,6.1,SKS
2003-05-09T20:26:16.200000Z,-48.1500,32.3516,10.0,6.3,SKS
2003-04-17T14:50:49.620000Z,-54.8046,1.1821,10.0,6.5,SKS
2003-04-11T06:12:52.980000Z,6.9973,-82.3559,0.1,6.1,SKS
2003-03-12T23:41:33.900000Z,26.6490,-110.5775,10.3,6.3,SKS
2003-02-24T02:03:43.370000Z,39.5173,77.2105,26.2,6.3,SKS
2003-01-27T17:56:26.010000Z,-45.9606,35.2909,10.0,6.4,SKS
2003-01-22T02:06:35.950000Z,18.8965,-104.0815,27.4,7.5,SKS
2003-01-21T02:46:52.340000Z,13.6409,-90.9570,62.2,6.4,SKS
2002-12-18T14:12:22.600000Z,-57.1799,-25.2759,10.0,6.1,SKS
