evtime,evlat,evlon,evdp,evmg,evphase
2009-04-16T14:57:06.210000Z,-60.2882,-27.0291,17.6,6.7,SKS
2009-04-06T01:32:42.620000Z,42.3700,13.3188,14.1,6.3,SKS
2009-03-30T07:13:06.170000Z,56.4023,-152.7686,17.0,6.0,SKS
2009-03-06T10:50:30.160000Z,80.3143,-1.9637,14.2,6.5,SKS
2009-02-28T14:33:06.390000Z,-60.5682,-24.9192,15.0,6.3,SKS
2008-11-22T18:49:42.790000Z,-1.1892,-14.0194,8.0,6.3,SKS
2008-06-30T06:17:43.820000Z,-58.2840,-21.9794,10.0,7.0,SKS
2008-05-29T15:46:00.840000Z,63.9564,-20.9875,10.0,6.3,SKS
2008-04-28T15:57:51.440000Z,-58.8452,-24.8411,10.0,6.1,SKS
2008-04-14T09:45:16.970000Z,-56.0769,-28.0966,112.3,6.0,SKS
2008-02-23T15:57:19.210000Z,-57.2227,-23.5015,0.0,6.8,SKS
2008-02-21T02:46:18.120000Z,77.0612,18.5685,10.5,6.1,SKS
2008-02-10T12:22:03.340000Z,-60.7841,-25.5944,10.0,6.5,SKS
2008-01-10T01:37:20.850000Z,43.8352,-126.9091,10.0,6.3,SKS
2008-01-09T14:40:01.010000Z,51.6440,-131.1701,10.0,6.0,SKS
2008-01-05T11:44:48.200000Z,51.1459,-130.5428,10.0,6.4,SKS
2008-01-05T11:01:05.260000Z,51.2576,-130.7587,10.0,6.6,SKS
2007-12-26T22:04:56.570000Z,52.5935,-168.2481,36.1,6.4,SKS
2007-11-02T22:31:43.260000Z,-55.5573,-128.7761,10.0,6.2,SKS
2007-10-02T18:00:08.700000Z,54.5424,-161.7764,44.5,6.3,SKS
2007-09-13T20:06:38.530000Z,-57.7665,-147.1553,10.0,6.0,SKS
2007-07-15T13:08:01.750000Z,52.5329,-168.0756,13.3,6.1,SKS
2007-06-24T00:25:17.380000Z,-55.6106,-2.4337,10.0,6.5,SKS
2007-05-04T12:06:52.810000Z,-1.3491,-15.0475,10.0,6.2,SKS
2007-04-28T14:02:38.050000Z,-60.9376,-20.3690,10.0,6.1,SKS
2007-03-31T12:49:03.160000Z,-56.1041,-123.2958,5.4,6.2,SKS
2007-03-08T11:14:29.930000Z,-58.1609,-7.6718,4.0,6.2,SKS
2007-02-28T23:13:17.490000Z,-55.2878,-29.2147,21.4,6.1,SKS
2007-02-12T10:35:24.850000Z,35.9176,-10.2442,30.4,6.0,SKS
2007-02-04T21:17:47.140000Z,-55.9541,-123.0117,10.0,6.2,SKS
2007-01-20T06:21:05.260000Z,-55.3210,-29.4544,10.0,6.2,SKS
2006-11-30T21:20:11.320000Z,-53.9587,-134.1808,10.0,6.2,SKS
2006-10-15T17:14:13.220000Z,20.1157,-156.1606,19.9,6.0,SKS
2006-10-15T17:07:45.620000Z,19.8799,-156.1186,5.0,6.7,SKS
2006-10-10T08:02:52.730000Z,-56.0812,-122.4137,14.9,6.0,SKS
2006-08-20T03:41:45.920000Z,-61.0160,-34.2851,0.5,7.0,SKS
2006-03-03T23:36:27.680000Z,-55.7676,-4.2252,10.0,6.0,SKS
2006-02-23T04:04:04.730000Z,-54.5927,1.6121,10.0,6.0,SKS
2006-01-02T06:10:48.740000Z,-61.0106,-21.6489,10.0,7.4,SKS
2005-12-22T12:20:02.890000Z,-54.6061,-135.9541,10.0,6.4,SKS
