evtime,evlat,evlon,evdp,evmg,evphase
2010-04-17T23:15:23.290000Z,-6.6995,147.3038,65.9,6.2,S
2010-04-14T01:25:16.450000Z,33.1494,96.4895,12.2,6.1,S
2010-04-13T23:49:37.010000Z,33.1928,96.7466,13.8,6.9,S
2010-04-11T09:40:29.850000Z,-10.9275,161.1662,54.3,6.9,S
2010-04-07T14:33:03.820000Z,-3.8239,141.9748,33.6,6.0,S
2010-04-06T22:15:02.130000Z,2.3601,97.1113,33.4,7.8,S
2010-04-05T10:05:44.630000Z,-0.0893,125.1046,28.1,6.1,S
2010-03-30T16:54:47.370000Z,13.6128,92.8746,38.5,6.6,S
2010-03-25T05:29:26.330000Z,13.8293,120.0137,24.6,6.0,S
2010-03-20T14:00:50.440000Z,-3.3752,152.2786,418.9,6.6,S
2010-03-14T08:08:05.010000Z,37.7839,141.6548,40.1,6.5,S
2010-03-14T00:57:46.160000Z,-1.6485,128.0818,63.6,6.5,S
2010-03-08T09:47:10.580000Z,19.3514,144.7599,446.9,6.1,S
2010-03-08T02:32:35.040000Z,38.7884,40.0440,12.2,6.1,S
2010-03-05T16:07:00.000000Z,-3.8389,100.9157,24.2,6.7,S
2010-03-04T14:02:28.850000Z,-13.6248,167.2326,189.6,6.5,S
2010-03-04T00:18:52.300000Z,22.9301,120.8000,27.0,6.3,S
2010-02-26T20:31:26.860000Z,25.9843,128.5078,24.2,7.0,S
2010-02-18T01:13:18.420000Z,42.6027,130.6993,573.7,6.9,S
2010-02-15T21:51:48.170000Z,-7.2679,128.7666,134.7,6.2,S
2010-02-13T02:34:29.370000Z,-21.9548,-174.7533,16.4,6.0,S
2010-02-09T01:03:45.440000Z,-15.0523,-173.2981,15.0,6.1,S
2010-02-07T06:10:00.360000Z,23.4364,123.6909,23.0,6.3,S
2010-02-06T04:45:00.040000Z,46.7536,152.7803,44.3,6.0,S
2010-02-05T06:59:07.360000Z,-47.9345,99.5103,16.0,6.2,S
2010-02-01T22:28:17.800000Z,-6.0868,154.5578,42.6,6.2,S
2010-01-09T05:51:33.450000Z,-9.0990,157.7664,31.7,6.2,S
2010-01-05T13:11:43.050000Z,-8.9862,157.9615,33.2,6.0,S
2010-01-05T12:15:34.350000Z,-8.9933,157.6125,24.7,6.8,S
2010-01-03T22:36:29.570000Z,-8.8788,157.4167,29.8,7.1,S
2010-01-03T21:48:04.950000Z,-8.8174,157.5309,17.8,6.6,S
2010-01-02T08:45:35.400000Z,12.4211,142.0531,24.0,6.0,S
2009-12-31T09:23:24.780000Z,-59.6401,-150.8047,10.0,6.0,S
2009-12-26T08:57:25.060000Z,-5.4255,131.3236,64.9,6.1,S
2009-12-24T00:23:33.940000Z,42.2375,134.7721,395.7,6.3,S
2009-12-19T23:19:17.160000Z,-10.0187,33.8313,14.0,6.0,S
2009-12-19T13:02:16.370000Z,23.7932,121.7033,50.1,6.4,S
2009-12-10T02:30:52.140000Z,53.3987,152.7985,653.2,6.3,S
2009-12-09T09:46:08.460000Z,-22.2196,170.9340,86.6,6.4,S
