evtime,evlat,evlon,evdp,evmg,evphase
2009-12-10T02:30:52.140000Z,53.3987,152.7985,653.2,6.3,S
2009-12-09T09:46:08.460000Z,-22.2196,170.9340,86.6,6.4,S
2009-11-28T18:10:24.350000Z,5.4141,126.3966,66.8,6.1,S
2009-11-28T06:04:25.320000Z,-10.3590,118.8434,38.7,6.0,S
2009-11-24T12:47:15.730000Z,-20.7410,-174.0397,18.4,6.8,S
2009-11-22T22:47:27.730000Z,-31.5501,179.5594,434.9,6.2,S
2009-11-22T07:48:21.070000Z,-17.8225,-178.3704,526.8,6.3,S
2009-11-10T02:48:46.430000Z,8.0283,91.9514,22.7,6.0,S
2009-11-09T10:44:54.780000Z,-17.2674,178.4528,591.3,7.3,S
2009-11-08T19:41:45.860000Z,-8.2837,118.6673,32.1,6.6,S
2009-11-05T09:43:21.490000Z,-52.3610,160.6862,14.7,6.0,S
2009-11-02T10:47:14.010000Z,-24.1467,-175.0865,13.9,6.1,S
2009-10-30T07:03:39.120000Z,29.1677,129.9847,33.9,6.8,S
2009-10-29T17:44:32.110000Z,36.3822,70.7684,213.9,6.2,S
2009-10-25T07:53:51.910000Z,-23.0354,-179.1010,413.0,6.0,S
2009-10-24T14:40:44.770000Z,-6.1165,130.4290,140.3,6.9,S
2009-10-22T19:51:27.600000Z,36.5187,71.0121,188.6,6.1,S
2009-10-19T22:49:37.890000Z,-15.3310,-172.0856,14.4,6.0,S
2009-10-16T09:52:52.620000Z,-6.5145,105.2408,54.6,6.1,S
2009-10-15T12:11:16.680000Z,-3.1094,139.5205,110.0,6.0,S
2009-10-14T18:00:22.970000Z,-14.9404,-174.7967,12.3,6.2,S
2009-10-13T20:21:52.900000Z,52.5322,-167.1647,14.1,6.4,S
2009-10-13T11:38:06.760000Z,2.9859,128.2505,42.3,6.0,S
2009-10-13T05:37:22.380000Z,52.7113,-166.9856,16.7,6.4,S
2009-10-12T09:37:22.620000Z,-12.4752,166.6179,56.9,6.2,S
2009-10-12T03:15:47.810000Z,-17.1827,66.6858,14.1,6.2,S
2009-10-11T03:12:17.400000Z,-22.0758,170.2380,34.5,6.0,S
2009-10-08T21:16:12.310000Z,-12.9207,166.3048,17.7,6.0,S
2009-10-08T10:11:06.230000Z,-11.3490,165.9441,37.0,6.1,S
2009-10-08T08:34:36.730000Z,-12.3254,166.6584,39.9,6.0,S
2009-10-08T08:28:48.390000Z,-13.3237,166.0293,40.1,6.7,S
2009-10-07T23:13:49.010000Z,-13.0836,166.4628,32.9,7.4,S
2009-10-07T22:50:19.380000Z,-12.5764,166.0093,40.0,6.8,S
2009-10-07T22:18:53.920000Z,-12.4743,166.3694,59.0,7.8,S
2009-10-07T22:03:14.390000Z,-13.0359,166.5023,33.7,7.6,S
2009-10-07T21:41:14.560000Z,4.0873,122.5378,586.8,6.8,S
2009-10-04T10:58:00.950000Z,6.6747,123.5053,635.0,6.6,S
2009-10-02T15:47:12.450000Z,-17.0951,174.6194,32.2,6.0,S
2009-10-02T01:07:40.930000Z,-16.3710,-173.3901,14.1,6.1,S
2009-10-01T01:52:29.720000Z,-2.5232,101.5651,21.4,6.6,S
2009-09-30T10:16:10.520000Z,-0.7071,99.9678,90.2,7.6,S
2009-09-29T23:45:04.350000Z,-15.8737,-172.5380,14.5,6.0,S
2009-09-29T17:56:08.880000Z,-15.3679,-173.1935,29.0,6.0,S
2009-09-23T02:59:31.880000Z,-53.0959,160.0407,17.3,6.0,S
