evtime,evlat,evlon,evdp,evmg,evphase
2017-07-19T12:16:23.560000Z,-17.4154,66.4836,10.0,6.0,SKS
2017-06-30T22:29:45.110000Z,-0.2882,-80.4935,13.0,6.0,SKS
2017-06-22T12:31:04.490000Z,13.7527,-90.9488,46.8,6.8,SKS
2017-06-14T07:29:05.630000Z,14.9823,-91.9882,94.0,6.9,SKS
2017-05-12T10:41:26.380000Z,12.9108,-90.0562,10.0,6.2,SKS
2017-04-05T06:09:12.460000Z,35.7999,60.4364,13.0,6.1,SKS
2017-02-07T22:03:55.700000Z,25.2011,63.2577,24.1,6.3,SKS
2016-12-25T14:22:27.030000Z,-43.4053,-73.9403,38.0,7.6,SKS
2016-11-24T18:43:48.830000Z,11.9597,-88.8355,10.3,7.0,SKS
2016-09-14T01:58:31.570000Z,7.3736,-76.1686,18.0,6.0,SKS
2016-09-10T10:08:20.020000Z,-5.5730,-76.9536,121.0,6.1,SKS
2016-07-11T02:11:04.800000Z,0.5812,-79.6380,21.0,6.3,SKS
2016-06-10T03:25:22.920000Z,12.8318,-86.9633,10.0,6.1,SKS
2016-05-18T16:46:43.860000Z,0.4947,-79.6160,29.9,6.9,SKS
2016-05-18T07:57:02.650000Z,0.4261,-79.7899,16.0,6.7,SKS
2016-04-27T12:51:19.440000Z,14.5178,-93.0882,16.0,6.0,SKS
2016-04-25T07:07:08.600000Z,14.4790,-93.1509,16.0,6.0,SKS
2016-04-22T03:03:41.720000Z,-0.2921,-80.5039,10.0,6.0,SKS
2016-04-20T08:35:10.620000Z,0.7079,-80.0352,10.0,6.0,SKS
2016-04-20T08:33:47.330000Z,0.6390,-80.2104,14.0,6.2,SKS
2016-04-16T23:58:36.980000Z,0.3819,-79.9218,20.6,7.8,SKS
2016-04-15T14:11:26.430000Z,13.4008,-92.3670,22.4,6.1,SKS
2015-12-17T19:49:53.050000Z,15.8009,-93.6294,85.0,6.6,SKS
2015-12-04T22:25:00.110000Z,-47.6165,85.0913,35.0,7.1,SKS
2015-10-26T09:09:42.560000Z,36.5244,70.3676,231.0,7.5,SKS
2015-08-13T10:39:54.310000Z,-37.0222,77.9536,15.4,6.0,SKS
2015-06-20T02:10:07.650000Z,-36.3349,-73.6674,17.4,6.4,SKS
2015-03-18T18:27:28.660000Z,-36.1112,-73.6890,9.7,6.1,SKS
2015-03-10T20:55:44.520000Z,6.7968,-73.0377,162.0,6.2,SKS
2015-03-06T08:22:20.090000Z,-41.3165,80.6147,13.1,6.0,SKS
2015-02-13T18:59:13.510000Z,52.5097,-32.0209,16.9,7.1,SKS
2015-01-07T05:07:06.240000Z,6.1087,-82.6574,7.9,6.5,SKS
2015-01-07T03:06:41.810000Z,-35.7180,-103.6874,10.0,6.0,SKS
2014-12-26T23:52:30.900000Z,7.9580,-82.2910,35.2,6.0,SKS
2014-12-26T23:52:15.160000Z,6.5189,-82.3463,10.0,6.0,SKS
2014-12-08T08:54:52.520000Z,7.9401,-82.6865,20.0,6.6,SKS
2014-12-07T21:16:31.980000Z,13.9741,-90.9751,0.0,6.0,SKS
2014-12-06T17:21:49.020000Z,7.9824,-82.7339,15.0,6.0,SKS
2014-11-03T08:48:29.700000Z,-41.8240,80.0437,7.4,6.3,SKS
2014-10-14T03:51:37.110000Z,12.5893,-88.0720,63.9,7.3,SKS
2014-08-18T18:08:22.750000Z,32.5827,47.7037,5.0,6.0,SKS
2014-08-18T02:32:04.100000Z,32.7110,47.6380,10.0,6.2,SKS
2014-07-29T10:46:13.600000Z,17.8100,-95.5010,99.0,6.4,SKS
2014-07-19T14:14:02.290000Z,11.7093,57.9570,10.0,6.0,SKS
2014-07-07T11:23:54.780000Z,14.7240,-92.4614,53.0,6.9,SKS
2014-05-24T09:25:03.190000Z,40.2763,25.3698,8.2,6.9,SKS
2014-05-13T06:35:24.530000Z,7.1451,-82.2400,13.1,6.5,SKS
2014-05-06T20:52:28.220000Z,-36.3760,-96.9872,10.0,6.2,SKS
2014-04-11T20:29:13.610000Z,11.7198,-86.0140,142.3,6.6,SKS
2014-04-10T23:27:45.030000Z,12.4342,-86.3301,12.6,6.1,SKS
2014-04-02T16:13:26.700000Z,7.8510,-82.3332,24.6,6.0,SKS
2014-03-15T23:51:32.300000Z,-5.6717,-80.9351,26.5,6.3,SKS
2014-03-15T08:59:20.160000Z,-14.1014,-76.3520,10.0,6.1,SKS
2014-03-02T22:17:17.210000Z,14.2440,-92.9925,33.1,6.0,SKS
2014-03-02T09:37:54.760000Z,12.5888,-87.7040,70.4,6.2,SKS
2014-01-13T04:01:04.530000Z,18.9922,-66.8685,30.9,6.3,SKS
2013-10-30T02:51:49.440000Z,-35.4018,-73.1515,11.9,6.3,SKS
2013-10-06T21:33:19.710000Z,-36.6341,-97.6029,12.0,6.2,SKS
2013-10-04T17:26:14.250000Z,-38.7070,78.5007,11.0,6.4,SKS
2013-09-28T07:34:07.460000Z,27.1617,65.6192,18.7,6.8,SKS
2013-09-25T16:42:43.180000Z,-15.9001,-74.6012,38.2,7.0,SKS
2013-09-24T11:29:48.230000Z,26.9109,65.5315,15.5,7.8,SKS
2013-09-07T00:13:29.910000Z,14.6678,-92.0911,74.1,6.4,SKS
2013-08-21T12:38:29.510000Z,16.8572,-99.5188,18.9,6.2,SKS
2013-08-17T16:32:31.830000Z,-34.8867,54.1278,10.9,6.2,SKS
2013-08-13T15:43:15.910000Z,5.7180,-78.1251,18.6,6.6,SKS
2013-08-12T09:49:31.920000Z,-5.4117,-81.9790,12.8,6.2,SKS
2013-06-15T17:34:29.170000Z,11.7418,-87.0457,41.4,6.4,SKS
2013-05-20T09:49:08.210000Z,-45.0062,-80.7244,35.0,6.3,SKS
2013-05-11T02:08:11.290000Z,26.6583,57.8438,15.1,6.2,SKS
2013-04-16T10:44:19.030000Z,27.9704,62.1360,63.1,7.7,SKS
2013-04-09T11:52:50.190000Z,28.4463,51.6290,12.8,6.3,SKS
2013-03-25T23:02:12.520000Z,14.5905,-90.4772,193.7,6.2,SKS
2013-02-09T14:16:06.960000Z,1.0345,-77.4620,144.2,7.0,SKS
2012-11-13T04:31:30.980000Z,-45.6690,-77.0841,35.0,6.0,SKS
2012-11-11T22:14:59.050000Z,14.0705,-92.3318,18.6,6.4,SKS
2012-11-10T14:57:50.210000Z,-8.9367,-75.0884,128.6,6.0,SKS
2012-11-07T16:35:49.310000Z,14.0318,-92.0669,38.7,7.4,SKS
2012-10-24T00:45:33.800000Z,10.0745,-85.3716,22.3,6.4,SKS
2012-09-30T16:31:34.070000Z,1.9079,-76.3716,155.2,7.2,SKS
2012-09-05T14:42:07.730000Z,10.0242,-85.3884,20.7,7.6,SKS
2012-08-30T13:43:25.300000Z,71.4464,-11.0341,11.1,6.7,SKS
2012-08-27T04:37:19.650000Z,12.1318,-88.6604,16.0,7.3,SKS
2012-08-11T12:34:36.600000Z,38.3798,46.7958,18.9,6.3,SKS
2012-08-11T12:23:17.670000Z,38.4023,46.8380,8.7,6.5,SKS
2012-08-02T09:38:31.250000Z,-8.4540,-74.2726,148.8,6.0,SKS
2012-07-26T05:33:33.860000Z,-17.5507,66.2905,16.2,6.6,SKS
2012-06-04T03:15:24.590000Z,5.4503,-82.5631,9.5,6.3,SKS
2012-06-04T00:45:16.380000Z,5.2944,-82.6322,15.0,6.3,SKS
2012-05-24T22:47:46.470000Z,73.0279,5.5053,8.2,6.3,SKS
2012-05-18T02:00:43.710000Z,-44.6403,-80.4601,35.0,6.3,SKS
2012-05-01T22:43:35.030000Z,14.4544,-93.0427,28.7,6.0,SKS
2012-04-14T10:56:18.310000Z,-57.5759,-65.3721,8.4,6.2,SKS
2012-04-02T17:36:42.500000Z,16.3729,-98.4615,16.3,6.1,SKS
2012-03-25T22:37:06.560000Z,-35.2035,-72.1268,28.2,7.1,SKS
2012-03-20T18:02:47.620000Z,16.4734,-98.3694,19.4,7.5,SKS
2012-01-30T05:10:59.460000Z,-14.2139,-75.6584,34.2,6.4,SKS
2012-01-23T16:04:53.300000Z,-36.4552,-73.1816,23.5,6.1,SKS
2012-01-21T18:47:13.480000Z,14.9330,-93.1422,63.5,6.2,SKS
2012-01-15T14:21:34.410000Z,-60.8685,-56.0334,23.0,6.0,SKS
2012-01-15T13:40:21.400000Z,-60.7010,-55.8579,17.3,6.6,SKS
2011-11-17T01:57:04.790000Z,-1.7479,-81.7057,19.6,6.0,SKS
2011-11-07T22:35:25.320000Z,11.6918,-85.7838,177.2,6.0,SKS
2011-10-28T18:54:34.750000Z,-14.5572,-76.1207,29.0,7.0,SKS
2011-10-23T20:45:37.020000Z,38.5893,43.1165,10.1,6.0,SKS
2011-10-23T10:41:22.010000Z,38.7294,43.4465,7.6,7.1,SKS
2011-08-24T17:46:11.560000Z,-7.6203,-74.5380,149.3,7.0,SKS
2011-06-01T12:55:21.010000Z,-37.5547,-73.8322,10.0,6.3,SKS
2011-05-14T21:07:21.810000Z,36.4257,70.7231,207.6,6.0,SKS
2011-05-13T22:47:55.340000Z,10.1114,-84.1889,76.8,6.0,SKS
2011-04-30T08:19:16.720000Z,6.8511,-82.3594,10.0,6.2,SKS
2011-04-07T13:11:23.430000Z,17.2651,-94.1439,165.1,6.7,SKS
2011-02-25T13:07:26.980000Z,17.8214,-95.1708,130.6,6.0,SKS
2011-02-14T03:40:09.250000Z,-35.4868,-73.1011,17.0,6.6,SKS
2011-02-12T01:17:00.710000Z,-37.0037,-73.1547,10.0,6.0,SKS
2011-02-11T23:39:21.240000Z,-37.2361,-73.4875,16.5,6.0,SKS
2011-02-11T20:05:28.880000Z,-36.4604,-73.1552,12.8,6.8,SKS
2011-01-29T06:55:26.330000Z,70.8684,-6.9088,6.4,6.2,SKS
2011-01-27T08:38:30.040000Z,28.1510,59.0520,18.5,6.2,SKS
2011-01-18T20:23:25.570000Z,28.6831,63.9948,79.9,7.2,SKS
2011-01-02T20:20:18.170000Z,-38.3907,-73.3993,24.4,7.1,SKS
2010-12-20T18:41:59.920000Z,28.3681,59.1500,14.5,6.5,SKS
2010-09-17T19:21:15.200000Z,36.5352,70.9695,215.4,6.2,SKS
2010-09-09T07:28:01.870000Z,-37.0545,-73.5357,18.6,6.2,SKS
2010-08-16T03:30:54.210000Z,-17.8076,65.6026,14.7,6.3,SKS
2010-08-12T11:54:15.020000Z,-1.2779,-77.3694,206.5,7.1,SKS
2010-07-14T08:32:21.850000Z,-38.0635,-73.4649,25.7,6.6,SKS
2010-06-30T07:22:27.710000Z,16.2901,-97.9585,27.8,6.3,SKS
2010-06-01T03:26:17.170000Z,9.3208,-84.1898,28.4,6.0,SKS
2010-05-23T22:46:51.680000Z,-14.0000,-74.4319,102.6,6.1,SKS
2010-05-19T04:15:42.630000Z,-5.1255,-77.4969,129.0,6.0,SKS
2010-05-03T23:09:45.060000Z,-38.1325,-73.6920,22.0,6.2,SKS
2010-04-23T10:03:06.900000Z,-37.4728,-72.8838,40.7,6.0,SKS
2010-04-02T22:58:09.200000Z,-36.2633,-72.9275,34.3,6.0,SKS
2010-03-28T21:38:32.950000Z,-35.4404,-73.1273,27.4,6.0,SKS
2010-03-16T02:21:58.050000Z,-36.2599,-73.3899,18.6,6.7,SKS
2010-03-15T11:08:32.470000Z,-35.8518,-73.4894,35.0,6.2,SKS
2010-03-11T15:06:02.630000Z,-34.4706,-72.0352,33.0,6.0,SKS
2010-03-08T02:32:35.040000Z,38.7884,40.0440,12.2,6.1,SKS
2010-03-05T11:47:07.530000Z,-36.6675,-73.4491,21.8,6.6,SKS
2010-03-05T09:19:36.800000Z,-36.6319,-73.2390,34.3,6.1,SKS
2010-03-03T17:44:26.090000Z,-36.5647,-73.2926,27.0,6.1,SKS
2010-02-27T17:24:31.530000Z,-36.3859,-73.1192,25.0,6.1,SKS
2010-02-27T08:25:29.230000Z,-34.8047,-72.4495,34.2,6.1,SKS
2010-02-27T08:01:23.480000Z,-37.8400,-75.2105,35.0,7.4,SKS
2010-02-27T07:37:18.140000Z,-36.9400,-72.8146,39.7,6.0,SKS
