evtime,evlat,evlon,evdp,evmg,evphase
2025-05-05T03:55:40.806000Z,-35.2752,-107.4288,10.0,6.0,SKS
2025-05-02T17:59:07.738000Z,-57.2763,-67.0184,8.0,6.4,SKS
2025-05-02T12:58:26.322000Z,-56.7817,-68.2085,10.0,7.4,SKS
2025-04-25T11:44:55.197000Z,1.1049,-79.5345,35.0,6.3,SKS
2025-04-23T09:49:10.874000Z,40.8395,28.1420,10.0,6.2,SKS
2025-04-03T14:09:29.739000Z,52.4540,-32.1071,10.0,6.9,SKS
2025-03-21T14:50:51.530000Z,7.0177,-82.4062,10.0,6.2,SKS
2025-03-10T02:33:14.609000Z,71.1760,-8.1733,10.0,6.5,SKS
2025-02-08T23:23:14.341000Z,17.7016,-82.4564,10.0,7.6,SKS
2025-01-05T17:18:45.914000Z,12.9949,-89.2264,46.0,6.2,SKS
2024-11-10T16:49:50.496000Z,19.8191,-77.0757,14.0,6.8,SKS
2024-11-08T11:38:00.416000Z,-46.7782,-75.6266,10.0,6.3,SKS
2024-10-16T07:46:32.572000Z,38.3136,38.8306,10.0,6.0,SKS
2024-10-12T17:43:44.516000Z,10.4967,-86.1497,16.0,6.2,SKS
2024-09-26T19:19:28.664000Z,-17.1990,66.5336,10.0,6.3,SKS
2024-08-28T21:57:53.703000Z,13.0076,-89.4958,18.0,6.1,SKS
2024-07-21T02:53:48.284000Z,14.6359,-89.9157,262.3,6.2,SKS
2024-06-29T07:05:32.855000Z,-16.0485,-74.5560,18.0,6.1,SKS
2024-06-28T05:36:36.965000Z,-15.8265,-74.4635,24.4,7.2,SKS
2024-06-16T14:47:32.659000Z,-15.8466,-74.4190,23.3,6.0,SKS
2024-05-12T11:39:12.829000Z,14.4523,-92.4483,58.2,6.4,SKS
2024-01-27T05:52:48.423000Z,14.0652,-90.6190,90.0,6.1,SKS
2024-01-20T22:09:39.708000Z,-39.9300,46.1966,10.0,6.2,SKS
2024-01-11T09:20:26.988000Z,36.4999,70.6275,211.2,6.4,SKS
2023-10-15T03:36:00.712000Z,34.6508,62.1245,10.6,6.3,SKS
2023-10-11T00:41:55.226000Z,34.5295,62.0475,4.0,6.3,SKS
2023-10-07T07:12:50.034000Z,34.5718,61.8816,10.0,6.3,SKS
2023-10-07T06:41:03.324000Z,34.5954,61.9277,14.0,6.3,SKS
2023-09-13T11:49:15.723000Z,-36.2532,-97.9528,10.0,6.1,SKS
2023-08-17T17:04:48.708000Z,4.3434,-73.5955,10.0,6.2,SKS
2023-07-19T00:22:07.652000Z,12.7997,-88.0799,70.8,6.5,SKS
2023-07-14T09:29:00.390000Z,14.8914,-93.9139,34.0,6.3,SKS
2023-05-26T22:18:25.271000Z,-39.0059,-91.3720,10.0,6.0,SKS
2023-05-25T03:05:32.956000Z,8.9223,-77.0904,13.0,6.5,SKS
2023-05-17T23:01:59.919000Z,15.1066,-90.8052,252.0,6.4,SKS
2023-04-04T22:18:12.640000Z,7.5673,-82.3342,16.0,6.3,SKS
2023-03-30T17:33:08.544000Z,-35.6663,-73.4965,26.0,6.3,SKS
2023-03-18T17:12:51.965000Z,-2.8390,-79.8480,63.5,6.8,SKS
2023-02-20T17:04:29.733000Z,36.1588,36.0342,16.0,6.3,SKS
2023-02-06T12:02:11.203000Z,38.0546,36.5099,8.1,6.0,SKS
2023-02-06T10:26:48.486000Z,38.0302,37.9636,20.1,6.0,SKS
2023-02-06T10:24:49.258000Z,38.0235,37.2030,10.0,7.5,SKS
2023-02-06T01:28:15.984000Z,37.1784,36.9468,10.7,6.7,SKS
2023-02-06T01:17:34.362000Z,37.2251,37.0209,10.0,7.8,SKS
2022-11-23T01:08:15.436000Z,40.8362,30.9836,10.0,6.1,SKS
2022-11-13T02:24:57.830000Z,-37.4653,-73.6751,18.0,6.2,SKS
2022-11-13T02:24:01.039000Z,-37.5518,-73.7660,20.7,6.2,SKS
2022-10-20T11:57:12.563000Z,7.6863,-82.3351,20.0,6.7,SKS
2022-10-16T12:48:24.000000Z,4.4000,-87.5000,10.0,6.7,SKS
2022-10-16T12:48:21.665000Z,4.3584,-87.5675,15.0,6.3,SKS
2022-10-01T01:18:53.380000Z,53.7036,-35.5060,10.0,6.0,SKS
2022-09-23T22:53:26.202000Z,-41.3769,-75.5849,10.0,6.1,SKS
2022-07-15T19:37:22.404000Z,-44.6099,-79.6897,21.5,6.4,SKS
2022-07-01T23:25:14.108000Z,26.8833,55.3238,10.0,6.0,SKS
2022-07-01T21:32:08.621000Z,26.9350,55.2540,16.0,6.0,SKS
2022-06-21T20:54:36.039000Z,33.0545,69.4828,10.0,6.0,SKS
2022-04-21T07:42:46.508000Z,11.5537,-86.9604,27.0,6.6,SKS
2022-02-16T07:12:24.847000Z,14.1827,-91.3669,69.6,6.2,SKS
2022-02-03T15:58:57.372000Z,-4.4587,-76.9313,110.0,6.5,SKS
2022-01-28T11:14:09.957000Z,5.4909,-82.5881,10.0,6.1,SKS
2022-01-11T01:07:48.091000Z,35.2331,31.9468,21.0,6.6,SKS
2022-01-06T16:25:05.983000Z,11.9368,-87.1387,17.0,6.1,SKS
2021-11-28T10:52:14.652000Z,-4.4528,-76.8109,126.0,7.5,SKS
2021-11-15T04:23:30.468000Z,-37.5124,51.2613,10.0,6.0,SKS
