evtime,evlat,evlon,evdp,evmg,evphase
2011-04-01T13:29:11.510000Z,35.7317,26.5466,75.5,6.1,SKS
2011-01-29T06:55:26.330000Z,70.8684,-6.9088,6.4,6.2,SKS
2010-11-21T04:36:33.470000Z,-54.8356,-131.5605,22.8,6.0,SKS
2010-10-30T15:18:36.020000Z,-57.1160,-142.4191,10.0,6.3,SKS
2010-10-21T17:53:13.770000Z,24.7878,-109.1744,13.9,6.7,SKS
2010-05-19T10:51:03.600000Z,-54.6467,-135.4232,10.0,6.0,SKS
2010-05-19T10:30:11.010000Z,-54.7467,-135.3308,10.0,6.0,SKS
2010-04-11T22:08:11.320000Z,37.0075,-3.4764,619.6,6.3,SKS
2010-04-04T22:40:43.650000Z,32.2764,-115.2633,5.2,7.2,SKS
2010-03-07T07:05:24.930000Z,-16.2917,-115.2909,17.9,6.2,SKS
2010-01-10T00:27:41.850000Z,40.6654,-124.4669,20.6,6.5,SKS
2009-12-31T09:23:24.780000Z,-59.6401,-150.8047,10.0,6.0,SKS
2009-12-19T23:19:17.160000Z,-10.0187,33.8313,14.0,6.0,SKS
2009-12-03T06:12:32.980000Z,-56.2678,-122.4431,10.0,6.0,SKS
2009-11-17T15:30:46.840000Z,51.9622,-131.5985,8.7,6.6,SKS
2009-08-20T06:35:05.240000Z,72.2089,0.9513,9.5,6.0,SKS
2009-08-03T18:40:49.910000Z,29.4343,-113.7560,10.0,6.2,SKS
2009-08-03T17:59:56.390000Z,29.0705,-112.9137,7.8,6.9,SKS
2009-08-01T13:33:30.840000Z,-56.3362,-124.1183,10.0,6.0,SKS
2009-07-07T19:11:45.460000Z,75.3428,-72.6913,15.2,6.0,SKS
2009-07-01T09:30:10.050000Z,34.1472,25.5396,13.7,6.4,SKS
2009-06-16T20:05:58.350000Z,-54.4040,5.8693,16.0,6.1,SKS
2009-06-04T17:25:24.730000Z,-45.8474,35.0022,11.6,6.0,SKS
2009-04-06T01:32:42.620000Z,42.3700,13.3188,14.1,6.3,SKS
2008-07-15T03:26:36.550000Z,35.9232,27.8040,64.9,6.4,SKS
2008-06-08T12:25:29.700000Z,37.9608,21.4486,15.8,6.4,SKS
2008-05-29T15:46:00.840000Z,63.9564,-20.9875,10.0,6.3,SKS
2008-03-13T13:28:46.390000Z,-45.4141,35.3157,10.0,6.0,SKS
2008-02-21T14:16:04.450000Z,41.1003,-114.8758,10.0,6.0,SKS
2008-02-20T18:27:07.020000Z,36.2985,21.7799,17.4,6.2,SKS
2008-02-14T12:08:57.100000Z,36.3843,21.8324,35.3,6.5,SKS
2008-02-14T10:09:23.170000Z,36.5173,21.6699,31.5,6.9,SKS
2008-01-10T01:37:20.850000Z,43.8352,-126.9091,10.0,6.3,SKS
2008-01-09T14:40:01.010000Z,51.6440,-131.1701,10.0,6.0,SKS
2008-01-06T05:14:21.030000Z,37.2569,22.7037,83.8,6.2,SKS
2008-01-05T11:44:48.200000Z,51.1459,-130.5428,10.0,6.4,SKS
2008-01-05T11:01:05.260000Z,51.2576,-130.7587,10.0,6.6,SKS
2007-11-02T22:31:43.260000Z,-55.5573,-128.7761,10.0,6.2,SKS
2007-09-13T20:06:38.530000Z,-57.7665,-147.1553,10.0,6.0,SKS
2007-09-01T19:14:23.880000Z,24.9881,-109.6641,9.8,6.1,SKS
2007-06-24T00:25:17.380000Z,-55.6106,-2.4337,10.0,6.5,SKS
2007-03-31T12:49:03.160000Z,-56.1041,-123.2958,5.4,6.2,SKS
2007-03-08T11:14:29.930000Z,-58.1609,-7.6718,4.0,6.2,SKS
2007-02-04T21:17:47.140000Z,-55.9541,-123.0117,10.0,6.2,SKS
2006-11-30T21:20:11.320000Z,-53.9587,-134.1808,10.0,6.2,SKS
2006-10-10T08:02:52.730000Z,-56.0812,-122.4137,14.9,6.0,SKS
2006-03-03T23:36:27.680000Z,-55.7676,-4.2252,10.0,6.0,SKS
2006-02-23T04:04:04.730000Z,-54.5927,1.6121,10.0,6.0,SKS
2006-02-22T22:19:09.320000Z,-21.3113,33.5493,16.4,7.0,SKS
2006-01-08T11:34:54.640000Z,36.2752,23.2691,58.4,6.7,SKS
2006-01-04T08:32:33.490000Z,28.2303,-112.1263,14.1,6.6,SKS
