evtime,evlat,evlon,evdp,evmg,evphase
2009-12-19T23:19:17.160000Z,-10.0187,33.8313,14.0,6.0,SKS
2009-12-03T06:12:32.980000Z,-56.2678,-122.4431,10.0,6.0,SKS
2009-10-15T17:48:21.550000Z,3.2882,-103.8784,10.0,6.0,SKS
2009-09-24T07:16:22.950000Z,18.8111,-107.2085,30.2,6.4,SKS
2009-09-17T23:21:38.960000Z,-29.1736,-112.3144,10.0,6.2,SKS
2009-08-20T06:35:05.240000Z,72.2089,0.9513,9.5,6.0,SKS
2009-08-03T18:40:49.910000Z,29.4343,-113.7560,10.0,6.2,SKS
2009-08-03T17:59:56.390000Z,29.0705,-112.9137,7.8,6.9,SKS
2009-08-01T13:33:30.840000Z,-56.3362,-124.1183,10.0,6.0,SKS
2009-07-08T19:23:38.560000Z,-35.9266,-102.6868,16.0,6.0,SKS
2009-07-01T09:30:10.050000Z,34.1472,25.5396,13.7,6.4,SKS
2009-06-04T17:25:24.730000Z,-45.8474,35.0022,11.6,6.0,SKS
2009-05-28T08:24:57.100000Z,20.2800,-86.6000,10.0,6.7,SKS
2009-05-03T16:21:46.440000Z,14.6199,-91.2025,113.9,6.3,SKS
2009-04-06T01:32:42.620000Z,42.3700,13.3188,14.1,6.3,SKS
2008-10-30T15:15:40.690000Z,-9.1933,-108.2269,10.0,6.1,SKS
2008-10-16T19:41:33.100000Z,14.5410,-92.3345,83.5,6.7,SKS
2008-09-24T02:33:05.300000Z,17.5209,-105.4553,10.0,6.4,SKS
2008-09-18T01:41:01.860000Z,-4.7507,-105.9864,10.0,6.0,SKS
2008-07-15T03:26:36.550000Z,35.9232,27.8040,64.9,6.4,SKS
2008-06-15T08:37:17.920000Z,-36.5049,-107.5121,10.0,6.0,SKS
2008-06-08T12:25:29.700000Z,37.9608,21.4486,15.8,6.4,SKS
2008-05-29T15:46:00.840000Z,63.9564,-20.9875,10.0,6.3,SKS
2008-04-15T03:03:06.390000Z,13.6399,-90.7296,35.0,6.2,SKS
2008-03-13T13:28:46.390000Z,-45.4141,35.3157,10.0,6.0,SKS
2008-02-20T18:27:07.020000Z,36.2985,21.7799,17.4,6.2,SKS
2008-02-14T12:08:57.100000Z,36.3843,21.8324,35.3,6.5,SKS
2008-02-14T10:09:23.170000Z,36.5173,21.6699,31.5,6.9,SKS
2008-02-12T12:50:19.710000Z,16.4315,-94.2427,85.7,6.5,SKS
2008-01-06T05:14:21.030000Z,37.2569,22.7037,83.8,6.2,SKS
2007-11-02T22:31:43.260000Z,-55.5573,-128.7761,10.0,6.2,SKS
2007-09-13T20:06:38.530000Z,-57.7665,-147.1553,10.0,6.0,SKS
2007-09-01T19:14:23.880000Z,24.9881,-109.6641,9.8,6.1,SKS
2007-08-04T14:24:52.060000Z,-4.7502,-105.4065,10.0,6.1,SKS
2007-07-06T01:09:20.360000Z,16.6169,-93.5413,121.9,6.1,SKS
2007-06-13T19:29:46.130000Z,13.7161,-90.5703,66.0,6.7,SKS
2007-04-13T18:24:19.880000Z,-35.0157,-108.8181,10.0,6.1,SKS
2007-04-13T05:42:23.310000Z,17.2424,-100.2031,35.4,6.0,SKS
2007-03-31T12:49:03.160000Z,-56.1041,-123.2958,5.4,6.2,SKS
2007-02-04T21:17:47.140000Z,-55.9541,-123.0117,10.0,6.2,SKS
2006-12-30T08:30:48.790000Z,13.2716,51.3595,8.3,6.6,SKS
2006-12-03T20:52:16.600000Z,14.0436,-91.1617,62.8,6.0,SKS
2006-11-30T21:20:11.320000Z,-53.9587,-134.1808,10.0,6.2,SKS
2006-11-19T18:57:33.820000Z,-4.6116,-104.6847,10.0,6.1,SKS
2006-10-10T08:02:52.730000Z,-56.0812,-122.4137,14.9,6.0,SKS
2006-08-11T14:30:41.210000Z,18.5391,-101.0697,60.4,6.0,SKS
