evtime,evlat,evlon,evdp,evmg,evphase
2007-08-18T02:52:36.110000Z,-13.8095,-76.2970,33.4,6.0,SKS
2007-08-16T11:35:41.710000Z,-14.2544,-76.2006,31.8,6.0,SKS
2007-08-15T23:40:58.450000Z,-13.3836,-76.5555,41.2,8.0,SKS
2007-07-06T01:09:20.360000Z,16.6169,-93.5413,121.9,6.1,SKS
2007-06-13T19:29:46.130000Z,13.7161,-90.5703,66.0,6.7,SKS
2007-05-19T17:19:29.000000Z,-58.0300,79.8800,650.0,6.2,SKS
2007-05-07T11:15:16.290000Z,-44.8558,-80.4848,10.0,6.0,SKS
2007-04-13T18:24:19.880000Z,-35.0157,-108.8181,10.0,6.1,SKS
2007-03-31T12:49:03.160000Z,-56.1041,-123.2958,5.4,6.2,SKS
2007-03-18T02:11:07.560000Z,4.6445,-78.4592,17.7,6.2,SKS
2007-03-17T22:43:10.140000Z,4.6074,-78.4753,10.0,6.0,SKS
2007-02-24T02:36:22.050000Z,-6.9657,-80.4460,9.9,6.3,SKS
2007-02-04T21:17:47.140000Z,-55.9541,-123.0117,10.0,6.2,SKS
2007-02-04T20:56:59.310000Z,19.4006,-78.4052,10.0,6.2,SKS
2007-01-17T23:18:50.320000Z,10.0953,58.7229,10.0,6.2,SKS
2006-12-30T08:30:48.790000Z,13.2716,51.3595,8.3,6.6,SKS
2006-12-03T20:52:16.600000Z,14.0436,-91.1617,62.8,6.0,SKS
2006-11-19T18:57:33.820000Z,-4.6116,-104.6847,10.0,6.1,SKS
2006-10-26T22:54:33.070000Z,-13.3463,-76.5922,29.7,6.0,SKS
2006-10-22T08:55:16.280000Z,-45.8210,96.0662,10.0,6.1,SKS
2006-10-20T10:48:57.800000Z,-13.4967,-76.6679,34.3,6.7,SKS
2006-10-10T08:02:52.730000Z,-56.0812,-122.4137,14.9,6.0,SKS
2006-05-21T02:07:39.560000Z,1.5164,-85.3431,29.3,6.0,SKS
2006-05-07T14:17:35.230000Z,-36.7342,78.5713,10.0,6.1,SKS
2006-03-31T01:17:02.560000Z,33.5819,48.7952,15.4,6.1,SKS
2006-03-06T18:13:07.950000Z,-40.1584,78.4303,10.0,6.2,SKS
2006-02-28T07:31:04.420000Z,28.1050,56.8297,31.1,6.0,SKS
2006-01-23T20:50:47.020000Z,6.8856,-77.7800,23.8,6.2,SKS
2006-01-08T11:34:54.640000Z,36.2752,23.2691,58.4,6.7,SKS
2006-01-06T03:39:58.860000Z,6.6924,-82.3250,5.5,6.0,SKS
2005-12-30T18:26:46.000000Z,7.6796,-82.2860,29.6,6.1,SKS
2005-12-23T21:47:26.670000Z,-1.4039,-77.5897,193.0,6.1,SKS
2005-11-27T10:22:17.450000Z,26.7481,55.8273,10.0,6.0,SKS
2005-10-29T04:05:54.930000Z,-45.2183,96.9253,10.0,6.5,SKS
2005-09-26T01:55:37.710000Z,-5.7362,-76.4755,129.1,7.5,SKS
2005-08-27T18:38:19.800000Z,6.8784,-82.4335,10.0,6.1,SKS
2005-08-26T18:16:34.130000Z,14.4314,52.3512,19.9,6.2,SKS
2005-08-03T11:03:13.950000Z,11.3021,-85.5031,14.4,6.3,SKS
2005-07-10T04:46:29.540000Z,-36.3453,-97.2507,10.4,6.0,SKS
2005-07-02T02:16:47.710000Z,11.1840,-86.3832,78.6,6.6,SKS
2005-06-15T19:52:23.430000Z,-44.8867,-80.5067,10.0,6.5,SKS
2005-05-21T05:11:34.290000Z,-3.2328,-80.9455,39.7,6.3,SKS
2005-05-05T19:12:22.950000Z,6.3074,-82.6577,10.0,6.5,SKS
2005-04-11T14:54:05.410000Z,-7.3136,-77.9620,128.6,6.0,SKS
2005-03-17T13:37:36.180000Z,15.2256,-91.4327,197.4,6.2,SKS
2005-03-13T03:31:20.930000Z,27.0839,61.9044,51.8,6.0,SKS
2005-02-22T02:25:21.380000Z,30.7699,56.8066,13.0,6.4,SKS
2005-01-28T09:26:16.850000Z,-1.1714,-81.3595,10.0,6.0,SKS
2005-01-24T23:23:23.710000Z,-1.3716,-80.9385,10.0,6.1,SKS
2005-01-21T13:45:16.080000Z,-1.1500,-80.9638,33.0,6.0,SKS
2004-12-22T21:03:37.480000Z,-56.0028,-124.9194,10.0,6.0,SKS
2004-12-14T23:20:11.820000Z,18.9798,-81.3989,9.4,6.8,SKS
2004-11-20T22:01:44.360000Z,13.3489,-90.2823,39.6,6.3,SKS
2004-11-20T08:07:22.000000Z,9.5900,-84.1490,24.5,6.4,SKS
2004-11-15T09:06:55.390000Z,4.7417,-77.4704,15.0,7.2,SKS
2004-10-09T21:26:54.990000Z,11.4154,-86.7081,58.1,6.9,SKS
2004-09-09T16:33:20.230000Z,17.7604,-81.5267,26.6,6.0,SKS
2004-06-29T07:01:29.160000Z,10.6412,-87.1749,9.0,6.3,SKS
2004-05-28T12:38:43.040000Z,36.3211,51.5879,17.0,6.3,SKS
2004-04-29T00:57:25.090000Z,10.7205,-86.1115,53.2,6.2,SKS
2004-04-08T04:57:48.560000Z,-36.3279,-97.9141,10.0,6.3,SKS
2004-03-17T05:20:57.750000Z,34.6611,23.3874,14.7,6.0,SKS
2004-03-02T03:47:25.390000Z,11.6664,-86.9822,65.1,6.2,SKS
2004-02-26T20:32:21.430000Z,-17.9016,66.3883,14.1,6.2,SKS
2004-02-04T11:59:45.920000Z,8.3181,-82.9529,29.4,6.1,SKS
2004-01-29T03:52:50.880000Z,-50.2359,-114.7297,10.0,6.1,SKS
2004-01-11T04:32:46.310000Z,-36.6941,53.4413,5.3,6.2,SKS
2003-12-26T01:56:53.180000Z,28.9653,58.3044,15.0,6.6,SKS
2003-12-25T07:11:11.720000Z,8.3639,-82.8165,33.4,6.5,SKS
2003-09-22T04:45:36.540000Z,19.7982,-70.6599,10.0,6.4,SKS
2003-08-28T04:48:20.080000Z,-49.7474,-114.9378,10.0,6.2,SKS
2003-08-14T05:14:54.160000Z,38.9924,20.5648,12.0,6.3,SKS
2003-07-15T20:27:50.720000Z,-2.6398,68.3563,10.0,7.5,SKS
2003-05-28T16:15:18.800000Z,-17.7152,66.0256,10.0,6.2,SKS
2003-05-01T00:27:04.730000Z,38.9987,40.4637,10.0,6.3,SKS
2003-04-11T06:12:52.980000Z,6.9973,-82.3559,0.1,6.1,SKS
2003-01-27T05:26:23.110000Z,39.4794,39.8481,10.0,6.0,SKS
2003-01-21T02:46:52.340000Z,13.6409,-90.9570,62.2,6.4,SKS
2002-11-09T00:14:22.430000Z,13.7609,-91.2820,72.9,6.0,SKS
2002-09-01T17:14:59.850000Z,14.2320,51.8850,10.0,6.0,SKS
2002-07-31T00:16:44.780000Z,7.9400,-82.8070,10.0,6.5,SKS
2002-06-22T02:58:21.470000Z,35.5890,49.0220,10.0,6.5,SKS
2002-06-16T02:46:16.260000Z,8.9210,-83.9560,47.1,6.4,SKS
2002-05-14T16:56:11.360000Z,-36.4190,79.2580,10.0,6.2,SKS
2002-04-24T11:00:00.770000Z,-56.1760,-122.3300,10.0,6.2,SKS
2002-02-03T07:11:31.470000Z,38.5200,31.2020,22.1,6.5,SKS
2002-01-22T04:53:52.100000Z,35.5740,26.6270,94.6,6.2,SKS
2002-01-16T23:10:19.300000Z,22.5000,-93.2000,80.0,6.1,SKS
2002-01-16T23:09:52.330000Z,15.5410,-93.1540,79.5,6.4,SKS
2001-11-28T14:32:33.680000Z,15.6790,-93.1290,86.2,6.4,SKS
2001-11-09T00:47:57.420000Z,9.8120,-82.2090,18.1,6.0,SKS
2001-08-31T16:05:00.170000Z,12.3010,46.2550,15.7,6.4,SKS
2001-08-25T02:02:00.040000Z,7.6010,-82.7940,8.2,6.0,SKS
