evtime,evlat,evlon,evdp,evmg,evphase
2025-04-29T14:53:36.756000Z,-54.2596,155.6293,12.1,6.8,S
2025-04-29T13:16:32.924000Z,-48.1287,165.4050,12.3,6.2,S
2025-04-22T10:17:13.583000Z,4.5098,127.7584,117.8,6.2,S
2025-04-16T01:42:59.982000Z,-47.8431,99.7581,10.0,6.6,S
2025-04-13T20:03:22.841000Z,-25.9815,-178.3309,271.0,6.5,S
2025-04-12T03:47:09.665000Z,-4.6911,153.1544,62.0,6.1,S
2025-04-04T20:04:38.311000Z,-6.2927,151.6781,10.0,6.9,S
2025-04-02T14:03:57.825000Z,30.9792,131.5220,29.0,6.1,S
2025-04-02T00:29:22.306000Z,-57.0079,-142.2862,10.0,6.3,S
2025-03-30T15:04:54.834000Z,-20.3816,-174.0115,17.0,6.2,S
2025-03-30T12:18:50.291000Z,-20.3093,-174.0801,29.0,7.0,S
2025-03-28T06:32:04.777000Z,21.6975,95.9690,10.0,6.7,S
2025-03-28T06:20:52.709000Z,22.0014,95.9247,10.0,7.7,S
2025-03-25T01:43:11.796000Z,-46.7305,165.8632,21.0,6.7,S
