evtime,evlat,evlon,evdp,evmg,evphase
2025-05-02T17:59:08.153000Z,-57.3028,-67.0750,10.0,6.4,S
2025-05-02T12:58:26.322000Z,-56.7817,-68.2085,10.0,7.4,S
2025-04-29T14:53:36.756000Z,-54.2596,155.6293,12.1,6.8,S
2025-04-29T13:16:32.924000Z,-48.1287,165.4050,12.3,6.2,S
2025-04-22T10:17:13.583000Z,4.5098,127.7584,117.8,6.2,S
2025-04-16T01:42:59.982000Z,-47.8431,99.7581,10.0,6.6,S
2025-04-13T20:03:22.841000Z,-25.9815,-178.3309,271.0,6.5,S
2025-04-12T03:47:09.665000Z,-4.6911,153.1544,62.0,6.1,S
2025-04-04T20:04:38.311000Z,-6.2927,151.6781,10.0,6.9,S
2025-04-02T14:03:57.825000Z,30.9792,131.5220,29.0,6.1,S
2025-04-02T00:29:22.306000Z,-57.0079,-142.2862,10.0,6.3,S
