evtime,evlat,evlon,evdp,evmg,evphase
2025-04-29T14:53:36.756000Z,-54.2596,155.6293,12.1,6.8,S
2025-04-29T13:16:32.924000Z,-48.1287,165.4050,12.3,6.2,S
2025-04-22T10:17:13.583000Z,4.5098,127.7584,117.8,6.2,S
2025-04-16T01:42:59.982000Z,-47.8431,99.7581,10.0,6.6,S
2025-04-13T20:03:22.841000Z,-25.9815,-178.3309,271.0,6.5,S
2025-04-12T03:47:09.665000Z,-4.6911,153.1544,62.0,6.1,S
2025-04-04T20:04:38.311000Z,-6.2927,151.6781,10.0,6.9,S
2025-04-02T14:03:57.825000Z,30.9792,131.5220,29.0,6.1,S
2025-03-30T15:04:54.834000Z,-20.3816,-174.0115,17.0,6.2,S
2025-03-30T12:18:50.291000Z,-20.3093,-174.0801,29.0,7.0,S
2025-03-28T06:32:04.777000Z,21.6975,95.9690,10.0,6.7,S
2025-03-28T06:20:52.709000Z,22.0014,95.9247,10.0,7.7,S
2025-03-25T01:43:11.796000Z,-46.7305,165.8632,21.0,6.7,S
2025-03-21T14:53:41.774000Z,51.1558,-176.0703,17.0,6.2,S
2025-03-12T05:42:11.676000Z,6.9701,92.5548,23.0,6.0,S
2025-03-10T02:33:14.609000Z,71.1760,-8.1733,10.0,6.5,S
2025-02-25T22:55:44.646000Z,0.3947,124.8541,13.3,6.1,S
2025-02-23T18:16:17.973000Z,-11.3585,166.2612,36.0,6.0,S
2025-01-20T16:17:26.768000Z,23.1678,120.5468,16.0,6.0,S
2025-01-13T12:19:32.300000Z,31.8525,131.5300,39.0,6.8,S
2025-01-07T01:05:16.716000Z,28.5733,87.3750,10.0,7.1,S
2024-12-27T12:47:37.885000Z,47.3114,151.3468,146.0,6.8,S
2024-12-21T15:30:53.221000Z,-17.7124,168.0329,46.0,6.1,S
2024-12-17T01:47:25.741000Z,-17.6914,168.0842,54.4,7.3,S
2024-12-09T00:38:52.848000Z,50.8586,-177.4430,10.0,6.1,S
2024-12-09T00:15:30.691000Z,50.9985,-177.1779,19.0,6.3,S
2024-12-08T19:57:08.602000Z,51.0018,-177.3278,18.0,6.3,S
2024-12-08T10:25:00.081000Z,48.8670,152.3071,207.0,6.0,S
2024-12-05T18:44:21.110000Z,40.3740,-125.0217,10.0,7.0,S
2024-11-26T13:47:03.411000Z,36.9549,136.3653,8.0,6.1,S
2024-11-17T12:16:29.948000Z,29.0468,131.3829,8.0,6.1,S
2024-11-15T05:28:30.644000Z,-4.7395,153.3133,56.0,6.6,S
2024-10-30T20:15:19.812000Z,43.5881,-127.7057,10.0,6.0,S
2024-10-30T12:18:51.671000Z,-4.4064,150.0827,509.0,6.0,S
2024-10-23T14:38:04.614000Z,49.3940,155.6369,40.0,6.2,S
2024-10-01T20:05:34.881000Z,-19.2886,-173.0007,10.0,6.6,S
2024-10-01T09:28:05.902000Z,-5.9971,124.9161,587.5,6.1,S
2024-09-26T19:19:28.664000Z,-17.1990,66.5336,10.0,6.3,S
2024-09-23T19:51:02.569000Z,-0.0470,122.8944,143.0,6.0,S
2024-09-16T11:36:34.522000Z,17.1539,147.2254,31.0,6.3,S
2024-09-15T22:22:48.323000Z,51.5827,-130.6302,6.0,6.5,S
2024-09-11T16:46:05.054000Z,-3.2871,146.4088,8.0,6.3,S
2024-09-07T22:39:08.235000Z,-21.3297,-173.8598,10.0,6.0,S
2024-09-05T01:03:15.672000Z,-3.5428,144.1953,7.0,6.2,S
2024-09-01T20:13:34.201000Z,-6.8295,155.5297,39.0,6.4,S
2024-08-30T04:24:22.983000Z,53.0016,160.3787,26.0,6.0,S
2024-08-25T23:30:51.981000Z,-19.7667,-174.9814,99.3,6.0,S
2024-08-25T23:29:07.570000Z,-19.7907,-175.0730,96.0,6.9,S
2024-08-17T19:10:26.819000Z,52.9369,160.1158,29.0,7.0,S
2024-08-15T23:35:53.950000Z,23.7496,121.7684,14.0,6.1,S
2024-08-10T03:28:32.435000Z,47.1936,144.7822,400.8,6.5,S
2024-08-08T07:42:55.242000Z,31.7581,131.5191,24.0,7.1,S
2024-08-03T04:20:26.609000Z,8.1703,126.7636,15.9,6.3,S
2024-08-02T22:23:02.550000Z,8.1812,126.6154,35.0,6.8,S
2024-07-29T13:07:11.966000Z,-20.3812,-173.9806,9.0,6.0,S
2024-07-22T05:04:30.168000Z,-15.5442,168.0426,10.0,6.0,S
2024-07-19T03:13:47.644000Z,52.1152,-170.9249,43.0,6.0,S
2024-07-11T15:08:46.834000Z,48.7312,-128.7499,10.0,6.4,S
2024-07-11T02:13:17.720000Z,6.0898,123.1548,627.9,7.1,S
2024-07-07T20:01:12.295000Z,26.8957,138.8289,546.0,6.2,S
2024-06-16T00:27:57.135000Z,-61.0037,154.1287,10.8,6.0,S
2024-05-31T15:54:41.575000Z,-28.9482,-176.8762,19.7,6.2,S
2024-05-26T20:47:10.893000Z,-19.4182,-174.8667,127.1,6.6,S
2024-05-25T22:23:16.060000Z,-17.1155,167.8753,22.3,6.3,S
2024-05-19T09:35:25.025000Z,52.1526,-170.8838,28.0,6.0,S
2024-05-08T08:17:18.712000Z,-15.1551,168.0225,40.5,6.1,S
2024-05-05T18:33:10.550000Z,-3.3135,130.9634,13.1,6.1,S
2024-04-27T16:29:51.110000Z,-7.9997,107.2981,63.3,6.1,S
2024-04-27T08:35:34.822000Z,27.8217,139.5770,503.9,6.5,S
2024-04-22T18:32:48.454000Z,23.8622,121.5621,10.0,6.1,S
2024-04-22T18:26:52.852000Z,23.7141,121.6599,9.0,6.1,S
2024-04-17T14:14:46.694000Z,33.2503,132.3647,32.0,6.3,S
2024-04-14T20:56:28.097000Z,-5.8037,151.0832,49.0,6.5,S
2024-04-09T09:48:01.603000Z,2.7057,127.0614,35.0,6.4,S
2024-04-05T11:03:16.375000Z,19.0958,145.3600,222.0,6.8,S
2024-04-04T03:16:30.313000Z,37.7104,141.8560,29.0,6.1,S
2024-04-03T00:11:25.266000Z,24.1021,121.6812,13.9,6.4,S
2024-04-02T23:58:12.147000Z,23.8322,121.6044,40.0,7.4,S
2024-04-02T09:54:08.576000Z,15.8134,146.8783,10.0,6.2,S
