evtime,evlat,evlon,evdp,evmg,evphase
2010-10-21T17:53:13.770000Z,24.7878,-109.1744,13.9,6.7,SKS
2010-10-08T03:49:11.170000Z,51.4225,-175.1876,32.4,6.0,SKS
2010-10-08T03:26:14.200000Z,51.3459,-175.3166,24.4,6.4,SKS
2010-09-03T11:16:08.110000Z,51.6273,-176.0005,45.8,6.5,SKS
2010-08-24T02:11:59.920000Z,18.5693,-107.1592,30.0,6.2,SKS
2010-08-16T03:30:54.210000Z,-17.8076,65.6026,14.7,6.3,SKS
2010-08-12T11:54:15.020000Z,-1.2779,-77.3694,206.5,7.1,SKS
2010-08-04T12:58:25.440000Z,51.3848,-178.4933,33.3,6.4,SKS
2010-07-30T03:56:14.650000Z,52.4218,159.9224,30.3,6.3,SKS
2010-07-18T19:48:08.730000Z,52.8204,-169.5988,35.6,6.0,SKS
2010-07-18T05:56:45.840000Z,52.7536,-169.7741,21.5,6.7,SKS
2010-07-12T00:11:20.060000Z,-22.2789,-68.3159,109.4,6.2,SKS
2010-06-30T07:22:27.710000Z,16.2901,-97.9585,27.8,6.3,SKS
2010-06-12T19:26:50.050000Z,7.8506,91.9546,31.4,7.5,SKS
2010-06-01T03:26:17.170000Z,9.3208,-84.1898,28.4,6.0,SKS
2010-05-31T19:51:47.690000Z,11.2109,93.6519,131.6,6.5,SKS
2010-05-24T16:18:28.810000Z,-8.1152,-71.6412,582.1,6.5,SKS
2010-05-23T22:46:51.680000Z,-14.0000,-74.4319,102.6,6.1,SKS
2010-05-19T04:15:42.630000Z,-5.1255,-77.4969,129.0,6.0,SKS
2010-05-06T02:42:48.460000Z,-18.0961,-70.5865,46.8,6.2,SKS
2010-04-30T23:16:29.210000Z,60.4670,-177.6065,16.0,6.4,SKS
2010-04-30T23:11:43.690000Z,60.4708,-177.8509,13.3,6.5,SKS
2010-04-14T01:25:16.450000Z,33.1494,96.4895,12.2,6.1,SKS
2010-04-13T23:49:37.010000Z,33.1928,96.7466,13.8,6.9,SKS
2010-04-04T22:40:43.650000Z,32.2764,-115.2633,5.2,7.2,SKS
2010-03-30T16:54:47.370000Z,13.6128,92.8746,38.5,6.6,SKS
2010-03-04T22:39:25.710000Z,-22.2651,-68.4579,108.4,6.3,SKS
2010-02-27T15:45:39.220000Z,-24.7957,-65.4619,31.8,6.3,SKS
2010-02-18T01:13:18.420000Z,42.6027,130.6993,573.7,6.9,SKS
2010-01-12T22:00:40.720000Z,18.3371,-72.7939,6.0,6.0,SKS
2010-01-12T21:53:10.410000Z,18.3823,-72.5880,15.0,7.0,SKS
2010-01-10T00:27:41.850000Z,40.6654,-124.4669,20.6,6.5,SKS
2009-12-19T23:19:17.160000Z,-10.0187,33.8313,14.0,6.0,SKS
2009-12-10T02:30:52.140000Z,53.3987,152.7985,653.2,6.3,SKS
2009-11-17T15:30:46.840000Z,51.9622,-131.5985,8.7,6.6,SKS
2009-11-14T19:44:29.360000Z,-22.9595,-66.5863,214.3,6.2,SKS
2009-11-13T03:05:58.310000Z,-19.4690,-70.4181,36.0,6.5,SKS
2009-11-10T02:48:46.430000Z,8.0283,91.9514,22.7,6.0,SKS
2009-10-22T00:51:39.950000Z,6.7537,-82.6530,21.3,6.0,SKS
2009-10-13T20:21:52.900000Z,52.5322,-167.1647,14.1,6.4,SKS
2009-10-13T05:37:22.380000Z,52.7113,-166.9856,16.7,6.4,SKS
2009-10-12T03:15:47.810000Z,-17.1827,66.6858,14.1,6.2,SKS
2009-09-24T07:16:22.950000Z,18.8111,-107.2085,30.2,6.4,SKS
2009-09-21T08:53:06.210000Z,27.3693,91.4597,16.1,6.1,SKS
2009-09-12T20:06:26.300000Z,10.7159,-67.9132,19.6,6.4,SKS
2009-08-28T01:52:06.470000Z,37.6678,95.7622,12.1,6.3,SKS
2009-08-10T19:55:39.830000Z,14.0522,92.8685,30.7,7.5,SKS
2009-08-03T18:40:49.910000Z,29.4343,-113.7560,10.0,6.2,SKS
2009-08-03T17:59:56.390000Z,29.0705,-112.9137,7.8,6.9,SKS
2009-07-12T06:12:47.350000Z,-15.0411,-70.5354,198.7,6.1,SKS
2009-07-04T06:49:36.660000Z,9.7523,-79.0221,48.6,6.1,SKS
2009-05-28T08:24:57.100000Z,20.2800,-86.6000,10.0,6.7,SKS
2009-05-28T08:24:48.360000Z,16.8078,-86.2430,29.0,7.3,SKS
2009-05-10T01:16:06.280000Z,1.3388,-85.2931,6.0,6.1,SKS
2009-05-03T16:21:46.440000Z,14.6199,-91.2025,113.9,6.3,SKS
2009-04-21T05:26:11.550000Z,50.7271,155.1883,157.2,6.2,SKS
2009-04-17T02:08:09.240000Z,-19.5806,-70.5024,28.7,6.1,SKS
2009-03-30T07:13:06.170000Z,56.4023,-152.7686,17.0,6.0,SKS
2009-03-12T23:23:34.410000Z,5.5180,-82.7165,10.7,6.3,SKS
2009-01-08T19:21:34.790000Z,10.2152,-84.2159,10.7,6.1,SKS
2008-11-24T09:03:00.020000Z,54.2201,154.2934,505.3,7.3,SKS
2008-11-19T06:11:22.510000Z,8.3262,-82.9022,44.6,6.3,SKS
