evtime,evlat,evlon,evdp,evmg,evphase
1998-02-16T23:53:19.940000Z,52.6815,-33.6622,10.0,6.7,SKS
1997-09-26T09:40:25.280000Z,43.0923,12.8183,0.5,6.0,SKS
1997-09-03T06:22:43.800000Z,-55.2670,-128.9677,10.0,6.0,SKS
1997-05-27T06:10:31.990000Z,-54.9442,-136.1159,10.0,6.0,SKS
1997-04-28T12:07:38.340000Z,-42.4134,42.6807,10.0,6.6,SKS
1996-10-06T20:13:09.570000Z,49.0097,-127.8937,10.0,6.0,SKS
1996-06-22T00:32:13.660000Z,-53.8178,8.7350,10.0,6.4,SKS
1995-09-08T01:15:28.690000Z,-56.1180,-122.4818,10.0,6.3,SKS
1995-08-28T10:46:14.380000Z,26.2711,-110.3618,12.2,6.6,SKS
1995-08-23T13:14:42.770000Z,-56.8602,-141.4837,12.0,6.1,SKS
1995-06-30T11:59:00.140000Z,24.7487,-110.2461,29.3,6.0,SKS
1995-02-19T04:03:16.430000Z,40.5611,-125.5335,10.0,6.4,SKS
1994-10-27T17:45:57.970000Z,43.4388,-127.5231,20.0,6.3,SKS
1994-09-12T12:23:43.630000Z,38.8403,-119.6452,14.0,6.1,SKS
1994-09-01T15:15:53.510000Z,40.4360,-125.6911,10.0,7.1,SKS
1994-05-26T08:26:52.700000Z,35.2793,-4.1169,10.9,6.0,SKS
1994-02-12T04:16:27.180000Z,-10.7633,-128.8418,15.0,6.6,SKS
1994-02-05T23:34:09.960000Z,0.5918,30.0267,14.2,6.2,SKS
1994-01-17T12:30:54.620000Z,34.1360,-118.5826,15.9,6.7,SKS
1993-09-21T03:28:55.620000Z,42.3145,-122.0027,10.7,6.0,SKS
1993-05-17T23:20:52.060000Z,37.1278,-117.8111,25.9,6.1,SKS
1992-09-11T03:57:26.540000Z,-6.0808,26.6392,10.8,6.4,SKS
1992-06-28T15:05:31.270000Z,34.2695,-116.7825,10.0,6.3,SKS
1992-06-28T11:57:35.900000Z,34.2483,-116.4781,1.1,7.2,SKS
1992-04-26T11:18:26.330000Z,40.4722,-124.3558,22.2,6.7,SKS
1992-04-25T18:06:04.830000Z,40.3641,-124.0499,15.1,7.1,SKS
1992-04-23T04:50:23.410000Z,33.9082,-116.4840,12.4,6.2,SKS
1992-04-06T13:54:40.300000Z,50.6453,-130.0591,10.0,6.7,SKS
