evtime,evlat,evlon,evdp,evmg,evphase
1990-07-09T15:11:20.420000Z,5.4005,31.6673,12.6,6.6,SKS
1990-05-31T07:35:29.630000Z,17.3494,-100.6546,37.9,6.0,SKS
1990-05-31T00:17:48.160000Z,45.8103,26.7672,90.1,6.1,SKS
1990-05-30T10:40:06.350000Z,45.8474,26.6625,89.0,6.7,SKS
1990-05-24T20:00:08.220000Z,5.3589,31.8660,16.0,6.5,SKS
1990-05-24T19:34:47.130000Z,5.3251,31.8438,36.6,6.4,SKS
1990-05-20T02:22:01.180000Z,5.0708,32.1588,14.9,7.2,SKS
1989-12-25T14:24:32.750000Z,60.0740,-73.4825,5.0,6.0,SKS
1989-10-29T19:09:13.040000Z,36.7815,2.4426,6.0,6.0,SKS
1989-09-16T23:20:54.730000Z,16.4500,-93.7010,124.1,6.1,SKS
1989-08-29T04:16:22.640000Z,18.0472,-105.6899,16.6,6.4,SKS
1989-08-21T05:03:05.570000Z,11.9260,41.7703,10.0,6.1,SKS
1989-08-21T01:09:06.650000Z,11.8559,41.8637,16.0,6.1,SKS
1989-08-20T19:25:56.610000Z,11.8894,41.8171,12.0,6.2,SKS
1989-08-20T11:46:28.100000Z,11.8785,41.8165,10.0,6.1,SKS
1989-08-20T11:16:56.600000Z,11.7670,41.9601,12.0,6.0,SKS
1989-04-25T14:29:01.240000Z,16.8096,-99.3079,21.3,6.2,SKS
1989-03-10T21:49:45.800000Z,-13.6965,34.4452,30.0,6.4,SKS
1988-06-18T22:49:42.380000Z,26.8119,-111.0365,10.0,6.6,SKS
1988-05-05T10:04:14.380000Z,-26.8239,-113.2699,10.0,6.3,SKS
1988-02-26T06:17:31.860000Z,-37.2793,48.0155,10.0,6.8,SKS
1987-11-24T13:15:56.570000Z,33.1230,-116.0204,2.0,6.5,SKS
1987-10-25T16:46:14.160000Z,5.4401,36.7967,15.0,6.3,SKS
1987-07-15T07:16:14.290000Z,17.5185,-97.1429,72.5,6.2,SKS
1987-07-08T11:50:14.810000Z,-26.9689,-108.1527,10.0,6.4,SKS
1987-07-06T01:06:07.740000Z,-27.0011,-108.3202,10.0,6.7,SKS
1987-05-25T11:31:54.860000Z,63.8003,-19.6539,8.0,6.0,SKS
1986-08-30T21:28:35.970000Z,45.5373,26.3138,137.0,7.1,SKS
1986-05-05T03:35:38.360000Z,38.0166,37.7898,4.4,6.0,SKS
1986-04-30T07:07:19.570000Z,18.3692,-103.0103,37.8,7.0,SKS
1985-12-24T04:09:41.120000Z,-35.0982,54.2570,10.0,6.2,SKS
1985-09-21T01:37:15.110000Z,17.8110,-101.6856,42.1,7.6,SKS
1985-09-15T07:57:53.580000Z,17.9755,-97.1626,63.1,6.0,SKS
1985-05-14T18:11:12.050000Z,-10.6255,41.3315,33.4,6.4,SKS
1985-05-14T13:25:01.170000Z,-10.7170,41.2631,37.3,6.0,SKS
