evtime,evlat,evlon,evdp,evmg,evphase
1991-09-03T11:56:16.600000Z,-17.8742,-116.0015,10.7,6.3,SKS
1991-09-03T09:05:28.640000Z,-17.8562,-116.0124,8.5,6.4,SKS
1991-08-14T12:53:24.980000Z,54.3541,-169.3574,263.4,6.0,SKS
1991-06-15T00:59:20.380000Z,42.4375,44.0194,8.8,6.1,SKS
1991-05-30T13:17:43.330000Z,54.5851,-161.5904,37.2,6.8,SKS
1991-05-01T07:18:42.030000Z,62.5808,-151.5413,109.4,6.3,SKS
1991-04-29T18:30:41.010000Z,42.5140,43.8868,10.1,6.2,SKS
1991-04-29T09:12:48.130000Z,42.4147,43.6707,17.2,6.2,SKS
1991-03-08T11:36:28.390000Z,60.8555,167.0162,13.0,6.6,SKS
1991-02-21T02:35:34.250000Z,58.4298,-175.4485,20.2,6.5,SKS
1991-01-23T01:12:28.930000Z,51.9582,178.8066,100.2,6.5,SKS
1990-11-06T20:14:29.960000Z,53.4496,169.8290,24.8,7.1,SKS
1990-06-20T21:00:10.860000Z,36.9893,49.3462,18.5,7.3,SKS
1990-05-31T00:17:48.160000Z,45.8103,26.7672,90.1,6.1,SKS
1990-05-30T10:40:06.350000Z,45.8474,26.6625,89.0,6.7,SKS
1990-05-14T21:34:05.780000Z,-35.8445,-71.4025,87.1,6.2,SKS
1990-05-01T16:12:21.540000Z,58.8475,-156.8274,209.7,6.6,SKS
1990-04-21T18:54:57.110000Z,-36.8422,-73.1469,39.5,6.3,SKS
1990-03-12T14:41:19.580000Z,51.4479,-175.0569,14.0,6.3,SKS
1989-10-07T15:48:27.810000Z,51.2820,-179.0344,10.7,6.1,SKS
1989-09-17T00:53:38.620000Z,40.2207,51.7878,41.0,6.2,SKS
1989-09-16T02:05:07.550000Z,40.3559,51.5747,42.1,6.5,SKS
1989-09-13T11:40:48.840000Z,-35.6254,-17.4195,12.0,6.4,SKS
1989-09-04T13:14:58.600000Z,55.5766,-156.8582,11.0,7.0,SKS
1989-06-26T03:27:04.150000Z,19.4180,-155.1178,3.0,6.5,SKS
1989-05-24T13:31:14.590000Z,56.1469,164.1988,19.0,6.3,SKS
1989-05-19T02:21:56.830000Z,54.2916,-165.5781,107.8,6.3,SKS
1989-04-20T22:59:54.240000Z,57.1683,122.0147,26.0,6.3,SKS
1989-04-11T03:56:36.910000Z,49.4573,159.1614,16.0,6.7,SKS
1988-12-11T07:59:42.600000Z,-34.1100,-72.2800,50.0,6.1,SKS
1988-12-07T07:41:24.310000Z,40.9622,44.1643,5.0,6.8,SKS
1988-11-15T08:41:43.790000Z,52.1033,-171.0913,30.8,6.0,SKS
1988-08-14T17:53:10.450000Z,-27.2705,-71.0854,38.2,6.6,SKS
1988-05-05T10:04:14.380000Z,-26.8239,-113.2699,10.0,6.3,SKS
1988-03-21T23:31:25.110000Z,77.5908,125.5212,34.0,6.5,SKS
1988-02-29T05:31:36.550000Z,55.1599,167.4014,0.0,6.1,SKS
1988-02-28T05:31:42.320000Z,55.1823,167.9245,33.0,6.6,SKS
1988-02-07T18:15:06.150000Z,50.7642,173.4396,36.4,6.4,SKS
1987-12-28T08:16:19.390000Z,-28.0734,-70.6317,34.2,6.1,SKS
1987-10-27T21:58:17.840000Z,-28.6570,-62.9589,614.3,6.4,SKS
1987-10-06T20:11:35.430000Z,52.9512,159.9337,35.7,6.5,SKS
1987-09-13T20:08:51.590000Z,-34.3708,-69.9598,10.0,6.0,SKS
1987-08-15T18:04:20.490000Z,-28.0933,-70.8683,16.9,6.5,SKS
1987-08-14T17:39:29.510000Z,53.3859,-169.1888,93.6,6.0,SKS
1987-07-10T18:49:50.200000Z,55.1269,165.4611,7.5,6.4,SKS
1987-07-08T11:50:14.810000Z,-26.9689,-108.1527,10.0,6.4,SKS
1987-07-06T01:06:07.740000Z,-27.0011,-108.3202,10.0,6.7,SKS
1987-06-21T05:46:10.130000Z,54.1977,-162.6616,33.8,6.5,SKS
1987-05-06T04:06:15.190000Z,51.2599,-179.8826,25.9,6.8,SKS
1987-03-21T10:41:36.170000Z,52.0430,-177.5601,95.1,6.0,SKS
1987-02-27T08:31:54.520000Z,53.4424,-167.2878,10.0,6.7,SKS
1987-02-18T00:00:51.350000Z,51.2900,-179.2804,22.3,6.2,SKS
1987-01-05T12:11:56.960000Z,52.6225,-169.4271,33.0,6.1,SKS
1986-09-12T23:57:15.830000Z,56.1937,-153.4011,31.0,6.5,SKS
1986-08-30T21:28:35.970000Z,45.5373,26.3138,137.0,7.1,SKS
1986-06-19T09:09:10.120000Z,56.3862,-152.8589,17.0,6.8,SKS
1986-05-17T16:20:23.670000Z,52.2603,-174.2915,26.0,6.4,SKS
1986-05-08T05:37:20.430000Z,51.3452,-175.4141,18.0,6.0,SKS
