evtime,evlat,evlon,evdp,evmg,evphase
1992-04-03T03:19:54.070000Z,-5.6982,151.1380,47.6,6.5,S
1992-03-19T06:34:28.580000Z,17.2060,120.8703,32.0,6.3,S
1992-03-04T03:49:54.400000Z,-3.0196,147.9164,19.4,6.4,S
1992-02-27T20:05:26.960000Z,-6.1867,147.5788,65.7,6.6,S
1992-02-13T01:29:13.700000Z,-15.9025,166.2569,9.6,6.1,S
1992-02-06T01:12:38.180000Z,-5.7120,103.1295,35.0,6.5,S
1992-01-20T13:37:04.850000Z,27.9294,139.4709,521.3,6.7,S
1992-01-13T11:58:25.980000Z,1.3502,127.3838,141.2,6.1,S
1991-12-29T18:39:10.620000Z,-4.4155,132.7645,46.6,6.0,S
1991-12-28T00:52:10.680000Z,-56.1001,-24.7227,10.0,6.5,S
1991-12-27T04:05:58.210000Z,-55.9625,-25.1888,10.0,7.1,S
1991-12-22T08:43:13.430000Z,45.4777,151.0234,24.7,7.5,S
1991-12-19T01:33:41.610000Z,45.2263,151.1768,35.4,6.0,S
1991-12-13T19:58:15.750000Z,45.4026,151.4776,2.3,6.1,S
1991-12-13T19:55:09.310000Z,45.3218,151.2190,48.6,6.4,S
1991-12-13T18:59:06.580000Z,45.4525,151.6533,18.7,6.5,S
1991-12-13T05:45:28.970000Z,45.4933,151.5100,25.8,6.0,S
1991-12-13T02:33:52.680000Z,45.5219,151.4952,36.8,6.1,S
1991-12-11T17:03:09.540000Z,-17.7812,-115.9864,10.0,6.4,S
1991-12-03T10:33:40.060000Z,-26.4573,178.7024,562.4,6.3,S
1991-11-26T19:40:48.950000Z,42.0074,142.5850,60.7,6.4,S
1991-11-21T12:38:24.760000Z,5.8368,126.8785,42.0,6.3,S
1991-11-20T09:23:10.380000Z,-36.5011,178.3280,84.7,6.1,S
1991-11-13T11:12:15.550000Z,8.3783,126.4094,57.4,6.8,S
1991-11-07T09:21:22.030000Z,-7.3005,128.5912,124.1,6.3,S
1991-11-05T06:56:02.410000Z,-6.2294,146.4374,101.0,6.2,S
1991-11-04T06:24:05.570000Z,-6.0902,148.1853,79.2,6.2,S
1991-11-01T16:23:22.610000Z,-30.2528,-177.9872,21.4,6.6,S
1991-10-30T10:35:46.450000Z,-15.3306,-173.1867,58.6,6.2,S
1991-10-26T02:27:33.000000Z,18.5089,145.6503,206.9,6.0,S
1991-10-18T17:22:53.980000Z,-24.2627,-177.5361,188.3,6.5,S
1991-10-17T09:05:14.760000Z,-15.2453,-173.5412,0.1,6.1,S
1991-10-15T16:18:00.670000Z,-6.5003,130.0333,128.6,6.2,S
