evtime,evlat,evlon,evdp,evmg,evphase
1992-04-06T19:16:12.600000Z,15.4070,-92.8390,50.0,6.4,SKS
1992-04-06T13:54:40.300000Z,50.6453,-130.0591,10.0,6.7,SKS
1992-04-01T10:15:22.200000Z,12.9660,-91.2850,50.0,6.0,SKS
1992-03-13T16:01:04.460000Z,52.4248,-178.9767,197.0,6.4,SKS
1992-03-07T01:53:37.430000Z,10.2326,-84.3077,74.4,6.6,SKS
1992-03-05T14:39:10.110000Z,52.8698,159.6193,44.6,6.4,SKS
1992-03-02T12:29:39.930000Z,52.8835,159.8808,41.7,6.9,SKS
1992-02-26T03:45:19.560000Z,11.7405,57.7599,10.0,6.0,SKS
1992-01-02T16:40:40.770000Z,48.7310,-129.2210,10.0,6.1,SKS
1991-12-27T09:09:37.800000Z,51.0409,98.1543,13.5,6.3,SKS
1991-11-26T10:41:33.360000Z,51.8293,-176.1295,45.4,6.0,SKS
1991-11-19T22:28:50.570000Z,4.5976,-77.4136,14.9,7.1,SKS
1991-10-19T21:23:14.780000Z,30.7697,78.7914,13.2,6.8,SKS
1991-09-18T09:48:14.070000Z,14.6001,-91.0070,11.2,6.2,SKS
1991-08-17T22:17:15.000000Z,41.8481,-125.4130,13.5,6.9,SKS
1991-08-17T19:29:39.620000Z,40.2684,-124.1331,12.0,6.3,SKS
1991-08-16T22:26:16.920000Z,41.7202,-125.4227,7.0,6.4,SKS
1991-08-14T12:53:24.980000Z,54.3541,-169.3574,263.4,6.0,SKS
1991-07-13T02:50:14.880000Z,42.1904,-125.6453,11.0,6.8,SKS
1991-07-06T12:19:49.940000Z,-13.1921,-72.2228,112.3,7.0,SKS
1991-06-23T21:22:29.140000Z,-26.7523,-63.3036,558.4,7.1,SKS
1991-05-30T13:17:43.330000Z,54.5851,-161.5904,37.2,6.8,SKS
1991-05-24T20:50:55.080000Z,-16.5432,-70.7023,123.6,6.9,SKS
1991-05-02T07:01:58.020000Z,9.3952,-77.2946,42.2,6.0,SKS
1991-05-01T07:18:42.030000Z,62.5808,-151.5413,109.4,6.3,SKS
1991-04-24T19:13:02.260000Z,9.7597,-83.5191,12.7,6.2,SKS
1991-04-22T21:56:51.400000Z,9.6963,-83.0745,4.0,7.3,SKS
1991-04-05T15:50:47.120000Z,-14.2299,-75.4982,48.7,6.3,SKS
1991-04-05T04:19:49.300000Z,-5.9699,-77.1001,17.2,6.9,SKS
1991-04-04T15:23:20.850000Z,-6.0402,-77.1296,20.7,6.5,SKS
1991-04-04T03:22:58.830000Z,7.0657,-78.1378,37.5,6.3,SKS
1991-03-08T11:36:28.390000Z,60.8555,167.0162,13.0,6.6,SKS
1991-03-01T17:30:27.120000Z,10.9007,-84.6721,209.4,6.2,SKS
1991-02-21T02:35:34.250000Z,58.4298,-175.4485,20.2,6.5,SKS
1991-02-16T01:23:36.170000Z,48.2781,154.3439,8.0,6.3,SKS
1991-01-23T01:12:28.930000Z,51.9582,178.8066,100.2,6.5,SKS
1991-01-05T14:57:11.200000Z,23.5455,95.9627,18.1,6.9,SKS
1990-12-28T22:32:17.180000Z,-14.8829,66.7893,17.2,6.1,SKS
1990-11-23T22:35:34.030000Z,4.7488,-75.5481,136.0,6.1,SKS
1990-11-06T20:14:29.960000Z,53.4496,169.8290,24.8,7.1,SKS
1990-10-17T14:30:15.170000Z,-11.0091,-70.7671,625.9,7.0,SKS
1990-10-10T01:00:01.400000Z,-19.4754,-66.5630,225.9,6.6,SKS
1990-09-02T04:26:47.220000Z,-0.1293,-80.2849,7.8,6.6,SKS
1990-08-16T04:59:57.700000Z,41.5179,88.7523,0.0,6.2,SKS
