evtime,evlat,evlon,evdp,evmg,evphase
2013-11-02T15:52:45.490000Z,-23.6356,-112.6783,8.5,6.0,SKS
2013-10-19T17:54:57.220000Z,25.9612,-110.3639,15.0,6.6,SKS
2013-10-12T13:11:53.650000Z,35.5277,23.3718,46.9,6.8,SKS
2013-09-25T06:51:23.970000Z,-49.9853,-113.7895,10.0,6.0,SKS
2013-09-11T12:44:14.520000Z,-4.5910,-104.8068,13.0,6.0,SKS
2013-09-07T00:13:29.910000Z,14.6678,-92.0911,74.1,6.4,SKS
2013-08-21T12:38:29.510000Z,16.8572,-99.5188,18.9,6.2,SKS
2013-08-17T16:32:31.830000Z,-34.8867,54.1278,10.9,6.2,SKS
2013-07-22T07:01:41.750000Z,-46.0946,34.8615,3.2,6.3,SKS
2013-06-16T21:39:06.600000Z,34.4242,25.1864,25.0,6.1,SKS
2013-06-15T16:11:02.090000Z,34.4507,25.0440,21.5,6.3,SKS
2013-04-22T01:16:32.560000Z,18.0412,-102.1983,31.5,6.1,SKS
2013-03-25T23:02:12.520000Z,14.5905,-90.4772,193.7,6.2,SKS
2012-11-15T09:20:21.450000Z,18.1995,-100.5249,57.9,6.1,SKS
2012-11-11T22:14:59.050000Z,14.0705,-92.3318,18.6,6.4,SKS
2012-11-07T16:35:49.310000Z,14.0318,-92.0669,38.7,7.4,SKS
2012-10-08T06:26:23.590000Z,25.0882,-109.6135,17.0,6.0,SKS
2012-09-25T23:45:24.370000Z,24.7742,-110.1836,8.1,6.3,SKS
2012-08-30T13:43:25.300000Z,71.4464,-11.0341,11.1,6.7,SKS
2012-08-27T04:37:19.650000Z,12.1318,-88.6604,16.0,7.3,SKS
2012-06-10T12:44:16.360000Z,36.3847,28.9676,32.0,6.1,SKS
2012-05-20T02:03:53.990000Z,44.8730,11.2227,17.7,6.1,SKS
2012-05-01T22:43:35.030000Z,14.4544,-93.0427,28.7,6.0,SKS
2012-04-12T07:15:49.170000Z,28.8386,-113.1270,10.0,7.0,SKS
