evtime,evlat,evlon,evdp,evmg,evphase
2025-04-03T14:09:29.739000Z,52.4540,-32.1071,10.0,6.9,SKS
2025-04-02T00:29:22.306000Z,-57.0079,-142.2862,10.0,6.3,SKS
2025-03-30T15:04:54.834000Z,-20.3816,-174.0115,17.0,6.2,SKS
2025-03-30T12:18:50.291000Z,-20.3093,-174.0801,29.0,7.0,SKS
2024-12-07T17:31:59.483000Z,-40.3557,-16.7546,10.0,6.0,SKS
2024-12-05T18:44:21.110000Z,40.3740,-125.0217,10.0,7.0,SKS
2024-10-30T20:15:19.812000Z,43.5881,-127.7057,10.0,6.0,SKS
2024-10-01T20:05:34.881000Z,-19.2886,-173.0007,10.0,6.6,SKS
2024-09-15T22:22:48.323000Z,51.5827,-130.6302,6.0,6.5,SKS
2024-09-07T22:39:08.235000Z,-21.3297,-173.8598,10.0,6.0,SKS
2024-07-29T13:07:11.966000Z,-20.3812,-173.9806,9.0,6.0,SKS
2024-07-11T15:08:46.834000Z,48.7312,-128.7499,10.0,6.4,SKS
2024-07-10T04:55:41.780000Z,-53.3092,25.3481,4.0,6.6,SKS
2024-06-14T04:26:48.660000Z,-30.9405,-13.4722,10.0,6.0,SKS
2024-05-31T15:54:41.575000Z,-28.9482,-176.8762,19.7,6.2,SKS
2024-02-09T10:57:48.482000Z,-29.9268,-177.2323,13.0,6.1,SKS
2023-12-22T17:36:32.014000Z,-52.0879,27.9516,10.0,6.1,SKS
2023-09-08T22:11:01.432000Z,31.0549,-8.3887,19.0,6.8,SKS
2023-08-17T16:41:01.780000Z,-0.3289,-19.5802,10.0,6.0,SKS
2023-08-08T18:38:54.184000Z,-15.2082,-173.1883,42.0,6.1,SKS
2023-06-25T07:16:58.830000Z,-24.0818,-175.5760,9.0,6.2,SKS
2023-06-17T11:26:20.456000Z,-23.4652,-175.4720,22.0,6.1,SKS
2023-06-16T19:10:50.708000Z,-23.5748,-175.5430,16.0,6.2,SKS
2023-04-13T15:54:53.780000Z,49.2137,-129.6158,7.0,6.0,SKS
2023-03-16T00:56:00.139000Z,-30.1743,-176.1982,10.0,7.0,SKS
2022-12-20T10:34:24.770000Z,40.5250,-124.4230,17.9,6.4,SKS
2022-12-04T19:24:15.403000Z,-15.3507,-172.9823,38.0,6.8,SKS
2022-11-11T10:48:46.755000Z,-19.2868,-172.1488,37.0,7.3,SKS
2022-11-02T14:17:53.832000Z,-60.7841,-25.7774,25.0,6.1,SKS
2022-11-02T04:53:13.229000Z,31.5128,-133.3636,10.0,6.0,SKS
2022-10-01T01:18:53.380000Z,53.7036,-35.5060,10.0,6.0,SKS
2022-09-29T03:03:24.076000Z,-60.8356,-20.0267,11.0,6.5,SKS
2022-03-06T20:14:31.244000Z,-58.7315,-24.9167,20.0,6.0,SKS
2022-02-21T23:24:13.496000Z,-69.7825,165.4105,14.0,6.3,SKS
2022-02-08T11:59:26.725000Z,-0.4019,-19.8761,10.0,6.2,SKS
2022-01-29T02:46:39.597000Z,-29.5680,-176.7255,8.0,6.5,SKS
2021-12-20T20:10:31.310000Z,40.3902,-124.2980,27.0,6.2,SKS
2021-12-16T21:14:46.652000Z,-60.1379,-23.8499,15.0,6.0,SKS
2021-10-10T21:48:36.560000Z,18.8203,-155.5272,35.1,6.2,SKS
2021-08-31T02:52:50.513000Z,-29.9211,-177.3798,16.0,6.4,SKS
2021-08-22T21:33:20.270000Z,-60.2897,-24.8801,14.0,7.1,SKS
2021-08-22T00:45:08.588000Z,-60.1421,-24.2444,11.2,6.6,SKS
2021-08-16T11:10:36.568000Z,-58.3686,-23.3552,16.6,6.9,SKS
2021-08-12T18:41:22.560000Z,-60.3568,-26.7611,35.0,6.1,SKS
2021-08-12T18:36:59.727000Z,-59.9811,-26.4306,35.0,6.7,SKS
2021-07-24T12:51:28.429000Z,-29.9340,-176.8665,10.0,6.1,SKS
2021-07-08T22:49:48.110000Z,38.5075,-119.4998,7.5,6.0,SKS
2021-04-29T06:50:26.915000Z,-29.3390,-176.3205,10.0,6.1,SKS
2021-04-07T09:53:29.653000Z,-29.0489,-176.6124,18.0,6.1,SKS
2021-04-03T01:16:39.455000Z,-58.0139,-7.8430,10.0,6.6,SKS
