Station|#Network|Latitude|Longitude|phi|dt
ARMA|TEST|-30.4198|151.628006|16.0|1.55
AS31|TEST|-23.666|133.904007|52.0|1.3
BBJI|TEST|-7.462603|107.65|-72.0|1.4
BBOO|TEST|-32.809601|136.058304|4.0|1.6
BKB|TEST|-1.1073|116.9048|-12.0|1.95
BKNI|TEST|0.3262|101.0396|1.0|1.85
BLDU|TEST|-30.6147|116.709099|-16.0|1.1
BNDI|TEST|-4.5224|129.9045|12.0|1.2
CAN|TEST|-35.318715000000005|148.996325|-2.0|1.7
CHTO|TEST|18.8141|98.9443|13.0|2.0
CISI|TEST|-7.5557|107.8153|-27.0|1.45
CMSA|TEST|-31.5375|145.691605|26.0|1.7
CNB|TEST|-35.314999|149.363297|10.0|1.9
COEN|TEST|-13.9563|143.175705|-24.0|1.65
CTA|TEST|-20.0876|146.25|36.0|1.9
CTAO|TEST|-20.0882|146.2545|-12.0|2.0
DAV|TEST|7.0697|125.5791|-6.0|0.9
EIDS|TEST|-25.369101|151.081696|22.0|2.0
FAKI|TEST|-2.91925|132.24889|-14.0|2.0
FITZ|TEST|-18.0982|125.640297|20.0|1.6
FORT|TEST|-30.779|128.059|6.0|1.9
GENI|TEST|-2.5927|140.1678|16.0|1.7
GIRL|TEST|-22.643|114.234001|22.0|1.6
GSI|TEST|1.3039|97.5755|-6.0|2.0
GUMO|TEST|13.5893|144.8684|-76.0|2.0
HTT|TEST|-33.4306|138.9217|20.0|1.7
INKA|TEST|-27.740999|140.745605|8.0|1.7
JAGI|TEST|-8.4702|114.1521|-18.0|1.3
KANBL|TEST|-30.58925|121.61458999999999|40.0|1.4
KDU|TEST|-12.6869|132.472702|22.0|1.6
KMBL|TEST|-31.3669|121.8821|46.0|1.0
KNRA|TEST|-15.6769|128.762802|2.0|2.0
LHI|TEST|-31.52|159.061295|4.0|2.0
LHMI|TEST|5.2288|96.9472|0.0|1.95
LUWI|TEST|-1.0418|122.7717|-30.0|1.5
MEEK|TEST|-26.638|118.614998|-20.0|2.0
MILA|TEST|-37.0547|149.155|-21.0|1.5499999999999998
MMRI|TEST|-8.6357|122.2376|35.0|1.7
MNAI|TEST|-4.3605|102.9557|-7.0|1.7000000000000002
MOO|TEST|-42.4417|147.19030800000002|24.0|1.65
MORW|TEST|-29.0679|116.04029799999999|52.0|1.8
MTN|TEST|-12.8436|131.132706|2.0|1.05
MULG|TEST|-30.281799|134.058502|45.0|1.65
MUN|TEST|-31.9783|116.208298|0.0|1.45
NFK|TEST|-29.043301|167.938904|-2.0|1.7
NOUC|TEST|-22.09863|166.30665|-6.0|1.9
NPW|TEST|19.7785|96.1376|2.0|2.0
NWAO|TEST|-32.9277|117.23899999999999|-34.0|1.9
ONGER|TEST|-33.863659999999996|118.39563000000001|10.0|0.0
OOD|TEST|-27.794399|135.688004|12.0|1.3
PLAI|TEST|-8.8275|117.7765|-18.0|1.5
PMBI|TEST|-2.9024|104.6993|-18.0|1.9
PMG|TEST|-9.4047|147.1597|14.0|1.9
QIS|TEST|-20.557699|139.60519399999998|46.0|2.0
QLP|TEST|-26.5837|144.235001|7.0|2.0
RABL|TEST|-4.1912|152.163696|36.0|1.8
RIV|TEST|-33.829399|151.15829499999998|2.0|1.7
SANI|TEST|-2.0496|125.9881|41.0|1.65
SAUI|TEST|-7.9826|131.2988|-14.0|2.0
SMRI|TEST|-7.04915|110.44067|2.0|1.7
SOEI|TEST|-9.7553|124.2672|44.0|1.7
STKA|TEST|-31.8757|141.596405|14.0|1.5
TNTI|TEST|0.7718|127.3667|24.0|1.7
TOLI|TEST|1.1214|120.7944|-40.0|1.15
TOLI2|TEST|1.11119|120.78173999999999|-8.0|1.3
TOO|TEST|-37.5714|145.490601|-2.0|1.7
UGM|TEST|-7.9125|110.5231|0.0|1.6
WATNG|TEST|-30.7323|118.19845|-33.0|0.15000000000000002
WB2|TEST|-19.942753|134.35112|-11.0|1.7
WRKA|TEST|-25.0375|128.296097|-34.0|2.0
XMI|TEST|-10.4495|105.689499|-20.0|1.45
YNG|TEST|-34.298|148.3963|-8.0|2.0
ANA2|TEST|16.3412|145.7115|0.0|1.5
ANNE|TEST|16.358|145.7162|-25.0|1.4
ANSV|TEST|16.3417|145.6734|-3.0|1.5
BAG|TEST|16.410801|120.579697|-18.0|2.0
CMAI|TEST|19.932507|99.045281|76.0|2.0
CMMT|TEST|18.814034|98.94443000000001|-35.0|1.45
DLV|TEST|11.952|108.481499|-26.0|1.9
DPS|TEST|15.240820000000001|145.78909|8.0|1.45
HTSP|TEST|15.23166|145.79851000000002|32.0|1.7
IPM|TEST|4.4795|101.025497|3.0|2.0
KOM|TEST|1.7922|103.846703|-26.0|2.0
KUM|TEST|5.2902|100.6492|-42.0|2.0
LDM|TEST|5.1777|118.498001|-10.0|2.0
LOEI|TEST|17.5093|101.6244|-1.0|2.0
MHIT|TEST|19.3148|97.9632|10.0|0.5
NAYO|TEST|14.3152|101.3209|-22.0|2.0
NONG|TEST|18.063498000000003|103.1458|26.0|2.0
NWAO|TEST|-32.9277|117.23899999999999|-31.0|2.0
PANO|TEST|17.147614|104.6122|-18.0|1.1
PATS|TEST|6.8367|158.315201|0.0|1.95
PBKT|TEST|16.573514000000003|100.968755|34.0|1.2
PGSE|TEST|18.12045|145.79561|11.0|1.15
PGWW|TEST|18.137759|145.77791000000002|-64.0|1.75
PMG|TEST|-9.4047|147.1597|28.0|1.5
PRAC|TEST|12.472649|99.79287099999999|-44.0|2.0
PSI|TEST|2.695|98.92399999999999|-46.0|2.0
SARN|TEST|16.7002|145.7795|10.0|1.3
SBM|TEST|2.4529|112.21399699999999|-31.0|2.0
SKLT|TEST|7.175814999999999|100.615686|-46.0|2.0
SRDT|TEST|14.3948|99.1213|-54.0|2.0
SZP|TEST|17.552|120.45500200000001|-59.0|0.55
TMDB|TEST|13.6684|100.60700000000001|0.0|2.0
UBIN|TEST|1.4179|103.953796|8.0|0.4
