Station|Latitude|Longitude|phi|dt
CAN|-35.318715|148.996325|17.848559436194986|0.2617494762393292
NOUC|-22.09863|166.30665|-18.75525606607716|0.16797089707948756
BKB|-1.1073|116.9048|12.152817505502638|0.3671798187696122
BKNI|0.3262|101.039597|-12.295174025372772|0.4039220661165088
FAKI|-2.91925|132.248886|99.06200353478462|0.22986509681953987
JAGI|-8.4702|114.1521|-49.343302607697886|0.5458351489057693
LUWI|-1.0418|122.771698|23.31791000032992|0.3966612428475691
MMRI|-8.6357|122.237602|-46.28073345114575|0.4305944386668086
MNAI|-4.3605|102.955704|-35.21779683930418|0.5247600048569188
SAUI|-7.9826|131.298798|0.9349218522712205|0.09553242231259913
SMRI|-7.04915|110.440666|-64.39308458145048|0.2757992813711548
SOEI|-9.7553|124.267197|12.797099800652227|0.15827528001060132
TNTI|0.7718|127.366699|-21.912029746589884|0.2977573602671841
HNR|-9.4387|159.9475|97.12316651932014|0.31146232582349437
KOM|1.7922|103.846703|33.07217067512254|1.029020488751918
ARMA|-30.4198|151.628006|16.443722723328236|0.2003332591368302
AS31|-23.666|133.904007|72.2075576238949|0.24644117816668332
BLDU|-30.6147|116.709099|-81.39556975493515|0.15545177016098075
CMSA|-31.5375|145.691605|32.54100905461162|0.1731765206676427
CNB|-35.314999|149.363297|-35.4199822280201|0.4009231570328274
CNB|-35.314999|149.363297|-35.4199822280201|0.4009231570328274
CTA|-20.0876|146.25|28.584450229806354|0.16247401446024184
EIDS|-25.369101|151.081696|11.83041774448474|0.24064191549501476
GIRL|-22.643|114.234001|5.495174564234039|0.3968211360675512
KNRA|-15.6769|128.762802|4.376787532866605|0.9933407267131613
MEEK|-26.638|118.614998|2.3683439070129073|0.25181788543784656
MOO|-42.4417|147.190308|-45.800495280866855|0.40540363119836453
MORW|-29.0683|116.038803|8.352958299986323|0.39886871728977835
MTN|-12.8436|131.132706|23.66592024518776|0.37488772996812086
MUN|-31.9783|116.208298|-8.623761171998275|0.3909920976178817
QIS|-20.557699|139.605194|10.770101642880467|0.31149412713822866
QLP|-26.5837|144.235001|-35.457223688809435|0.4684689159459455
STKA|-31.8757|141.596405|-0.7613599722596639|0.3405427562880916
TOO|-37.5714|145.490601|23.49557710423974|0.4277202580515796
WB2|-19.942753|134.35112|8.920569914102561|0.2728837474555374
WRKA|-25.0375|128.296097|-4.543621077028608|0.5759008483488173
XMIS|-10.4807|105.651901|19.997392658146953|1.4269204470406782
