Station|Latitude|Longitude|phi|dt
CAN|-35.318715|148.996325|17.61392655295943|0.272715577013486
NOUC|-22.09863|166.30665|-16.54104301851359|0.164478302815393
BKB|-1.1073|116.9048|7.093268600642622|0.21399697440448615
BKNI|0.3262|101.039597|-22.19342904227406|0.24583244138492175
FAKI|-2.91925|132.248886|-71.46021675975005|0.22228719254807405
JAGI|-8.4702|114.1521|-47.59667601449056|0.4121434468177061
LUWI|-1.0418|122.771698|19.67441964072018|0.30509944848848525
MMRI|-8.6357|122.237602|-46.557868415671315|0.31458546603388
MNAI|-4.3605|102.955704|-30.268485156091007|0.4728941052656066
SMRI|-7.04915|110.440666|-63.41348025619147|0.2846629365991192
SOEI|-9.7553|124.267197|44.27820142060591|0.048512786122838526
TNTI|0.7718|127.366699|-8.818937160124976|0.3118022115355206
HNR|-9.4387|159.9475|91.8155033676461|0.26764427115698086
ARMA|-30.4198|151.628006|9.114353295110144|0.15035081535886163
AS31|-23.666|133.904007|70.41314829737857|0.13937275645202923
BBOO|-32.8102|136.058807|71.79727429993865|0.1113486993217328
BLDU|-30.6147|116.709099|-67.98486535554082|0.11928328869302576
CMSA|-31.5375|145.691605|45.02826641688973|0.25482043161280454
CNB|-35.314999|149.363297|-1.1436574366240357|0.1695662518756162
CNB|-35.314999|149.363297|-1.1436574366240357|0.1695662518756162
GIRL|-22.643|114.234001|32.192483229710554|0.17765358510962959
KNRA|-15.6769|128.762802|24.54389216919224|0.1825737155054878
LCRK|-30.447201|138.216202|44.71853145367026|0.09392073890726775
MORW|-29.0683|116.038803|10.509959286926248|0.2398873360979039
MTN|-12.8436|131.132706|19.734367067348717|0.292296011953252
MULG|-30.281799|134.058502|63.531882798349926|0.35755594633994536
MUN|-31.9783|116.208298|-20.408078784964378|0.16532439141784916
NFK|-29.043301|167.938904|-58.60154170568603|0.09136258302802427
NWAO|-32.9277|117.239|-71.17462632356353|0.15019444949057986
OOD|-27.794399|135.688004|32.400208397481684|0.17339408389326305
QIS|-20.557699|139.605194|14.580069096296835|0.152390064058742
RIV|-33.829399|151.158295|40.571851050732654|0.13381322550259128
STKA|-31.8757|141.596405|-1.3943473514157336|0.23450704457090227
TOO|-37.5714|145.490601|24.16065202485749|0.30001203983574076
WRKA|-25.0375|128.296097|-25.031383875406373|0.10024504742610477
XMI|-10.4501|105.6884|29.192343172404254|0.15671033900119571
YNG|-34.298|148.3963|-4.961473370680533|0.19798426127021843
