Station|Latitude|Longitude|phi|dt
NOUC|-22.09863|166.30665|-24.495165785704515|0.6318019387002912
BKNI|0.3262|101.039597|-49.71449839179744|0.5389852537764084
LUWI|-1.0418|122.771698|29.27035050510738|0.7062821448131061
MMRI|-8.6357|122.237602|-51.25965762563066|0.5307915383185058
MNAI|-4.3605|102.955704|-6.740886451614797|1.5842821493926549
TNTI|0.7718|127.366699|-45.34154583084678|0.5184440164324509
ARMA|-30.4198|151.628006|-34.52302190915829|0.3635830455807798
AS31|-23.666|133.904007|-85.63270374944494|0.298537273693003
BBOO|-32.8102|136.058807|-108.91161965453324|0.29400280112800714
BLDU|-30.6147|116.709099|89.41610149642702|0.5163656155496232
CMSA|-31.5375|145.691605|51.192065427262065|0.31506897774026554
CNB|-35.314999|149.363297|-42.67750725125738|0.3459242057615593
CNB|-35.314999|149.363297|-42.67750725125738|0.3459242057615593
EIDS|-25.369101|151.081696|15.09652890783192|0.3051697487377636
FITZ|-18.0982|125.640297|-2.0522848532045534|0.3761465958094719
FORT|-30.779|128.059|-4.081427858926975|0.19930037122074673
GIRL|-22.643|114.234001|15.104672442101057|0.4109951255444166
INKA|-27.740999|140.745605|-22.3040251901181|0.31054176839984093
KMBL|-31.3669|121.8821|-71.61158769446892|0.22583821278824087
KNRA|-15.6769|128.762802|6.9965451676733235|0.2959415956925476
MANU|-2.0432|147.366196|10.82966250794513|0.28357924602146534
MOO|-42.4417|147.190308|-67.20832389338294|0.28134308279550874
MORW|-29.0683|116.038803|10.947468308064986|0.3543467921130057
MTN|-12.8436|131.132706|32.64197273645004|0.20905892177893923
MUN|-31.9783|116.208298|-20.29905855864681|0.37460862438753123
NFK|-29.043301|167.938904|-54.65443604611854|0.33561854129949115
QLP|-26.5837|144.235001|39.94511761138768|0.12014415051854606
STKA|-31.8757|141.596405|-4.997489424291188|0.1983010567127165
TOO|-37.5714|145.490601|39.309002991182986|0.3689314458575477
WRKA|-25.0375|128.296097|-6.145735461177315|0.2559953018021715
XMI|-10.4501|105.6884|15.817241940788866|0.14140210303813264
XMIS|-10.4807|105.651901|23.493336001431995|0.20436180502211687
YNG|-34.298|148.3963|-102.12261042197102|0.18170747719204733
