Station|Latitude|Longitude|phi|dt
NOUC|-22.09863|166.30665|-29.170311093489566|0.4838896847310872
BKB|-1.1073|116.9048|19.635516660647394|0.4901298708962895
FAKI|-2.91925|132.248886|105.53407790275527|0.33244444109597815
JAGI|-8.4702|114.1521|-34.8484046822029|0.49624783720454224
LUWI|-1.0418|122.771698|23.864650178735396|0.5354732151952794
MMRI|-8.6357|122.237602|-42.544033279968765|0.46845693390269
MNAI|-4.3605|102.955704|-40.235310367043056|0.5015982132137804
SAUI|-7.9826|131.298798|-14.696243069071413|0.10386622526017875
SMRI|-7.04915|110.440666|112.71678998677146|0.23513063307915233
TNTI|0.7718|127.366699|-26.743472905428|0.4006955205538071
HNR|-9.4387|159.9475|94.00045953024578|0.29530112147893134
ARMA|-30.4198|151.628006|-36.449601731432836|0.38140320049367027
AS31|-23.666|133.904007|-94.17237893805353|0.24446291143870277
BBOO|-32.8102|136.058807|-110.82960655570065|0.24490891691925332
BLDU|-30.6147|116.709099|69.28024851336195|0.27720123644433253
CMSA|-31.5375|145.691605|49.153648091275855|0.35671740271126
CNB|-35.314999|149.363297|-41.66648755933567|0.21728777693264212
CNB|-35.314999|149.363297|-41.66648755933567|0.21728777693264212
COEN|-13.9574|143.174896|-34.05789897664901|0.830679536819817
EIDS|-25.369101|151.081696|15.41666878848014|0.28520400540373686
GIRL|-22.643|114.234001|20.396307082691635|0.3436437372784486
INKA|-27.740999|140.745605|-16.962179053588006|0.17564572032004022
KDU|-12.6869|132.472702|-78.3028508933979|0.27981058591309016
KMBL|-31.3669|121.8821|-94.65666393612541|0.18498421290448325
KNRA|-15.6769|128.762802|9.534715131175883|0.2503011862394893
MOO|-42.4417|147.190308|-65.56444636688265|0.20279145026693862
MORW|-29.0683|116.038803|50.52218524211812|0.46647867516908814
MTN|-12.8436|131.132706|26.89415122430467|0.17734351466736517
MULG|-30.281799|134.058502|50.80165688096834|0.3105302947114506
NFK|-29.043301|167.938904|-49.7611194185766|0.24158729374740448
OOD|-27.794399|135.688004|60.35754245333166|0.20569253404170287
QIS|-20.557699|139.605194|3.526763227306838|0.42009554665991045
RABL|-4.1912|152.163696|90.32543198185176|0.22242448040113863
RIV|-33.829399|151.158295|-78.8311032155057|0.33967786613709566
STKA|-31.8757|141.596405|-14.025770048869639|0.12417838618163167
TOO|-37.5714|145.490601|13.243848665181476|0.16966837165625365
WRKA|-25.0375|128.296097|-6.1606921506847625|0.2414063242241381
XMI|-10.4501|105.6884|21.1069903978165|0.11946134638918177
XMIS|-10.4807|105.651901|22.04558492334897|0.1060235309273769
XMIS|-10.4807|105.651901|22.04558492334897|0.1060235309273769
YNG|-34.298|148.3963|-97.09392750758728|0.1531445347130469
