Station|Latitude|Longitude|phi|dt
CAN|-35.318715|148.996325|-4.765816590811536|0.14182848492689765
NOUC|-22.09863|166.30665|-26.54432438237473|0.3766468065087327
BKNI|0.3262|101.039597|-27.056357129523125|0.273818954270997
LUWI|-1.0418|122.771698|14.534458186837396|0.30776259626248237
MMRI|-8.6357|122.237602|-61.28925716519756|0.3467076891189421
MNAI|-4.3605|102.955704|-28.184994435348724|0.42483847314327355
TNTI|0.7718|127.366699|-25.110434530000784|0.3509782076436549
ARMA|-30.4198|151.628006|-11.545975830043863|0.1163148283262594
AS31|-23.666|133.904007|76.91512800375101|0.35341083009197494
BBOO|-32.8102|136.058807|-101.9739103338316|0.15524468044452194
CMSA|-31.5375|145.691605|48.43695704312468|0.31005795634470595
EIDS|-25.369101|151.081696|15.671084392810101|0.24080433094119527
FITZ|-18.0982|125.640297|61.4554950928148|0.39270128142250443
GIRL|-22.643|114.234001|50.364903589589396|0.37505077188126684
KDU|-12.6869|132.472702|74.50949464878224|0.34555597374698355
KMBL|-31.3669|121.8821|90.73067952310714|0.3250990010184467
KNRA|-15.6769|128.762802|20.738316091602673|0.47650415559961046
LHI|-31.52|159.061295|5.510770282197381|0.134113364537602
MOO|-42.4417|147.190308|-67.06223932791508|0.15635302528844522
MTN|-12.8436|131.132706|22.072206804904425|0.3248356282107447
MULG|-30.281799|134.058502|-115.6007163174215|0.47212365415959756
NFK|-29.043301|167.938904|-52.863114414675046|0.23592640046753538
QIS|-20.557699|139.605194|9.65252144442684|0.34150808035021707
TOO|-37.5714|145.490601|45.57566271250976|0.4075669868741916
WRKA|-25.0375|128.296097|-9.776231235485113|0.2061383630584092
XMI|-10.4501|105.6884|33.648725160453026|0.6997854912361395
